commit_sha,commit_message,file_name,change_type,log_node,old_log_loc,old_store_name,new_log_loc,new_store_name,old_context_list,new_context_list,ddg_list,static_list
35ad12f99e71515f9cc65b1219160b88095a5f6b,"Merge topic 'source_group-tree'

b42330be source_group: Add options create groups matching directory tree",Tests/SourceGroups/main.c,+,"[""1147917"", ""True"", ""ExpressionStatement"", ""printf ( \""tree_foo: %d tree_bar: %d tree_foobar: %d tree_baz: %d\\n\"" , tree_foo ( ) , tree_bar ( ) , tree_foobar ( ) , tree_baz ( ) )""]",13,/data/download/CMake/CMake/Kitware_CMake_2_old.cpp,18,/data/download/CMake/CMake/Kitware_CMake_2_new.cpp,"[[[""printf"", ""\""foo: %d bar: %d foobar: %d barbar: %d baz: %d\\n\"""", ""foo"", ""bar"", ""foobar"", ""barbar"", ""baz""]], [[""ENTRY""]]]","[[[""printf"", ""\""foo: %d bar: %d foobar: %d barbar: %d baz: %d\\n\"""", ""foo"", ""bar"", ""foobar"", ""barbar"", ""baz""]], [[""ENTRY""]]]",[],"[""\""tree_foo: %d tree_bar: %d tree_foobar: %d tree_baz: %d\\n\""""]"
b42330be21c0d3046aa0e6fdf046a492bddef520,"source_group: Add options create groups matching directory tree

Add `TREE` and `PREFIX` arguments to enable this behavior.",Tests/SourceGroups/main.c,+,"[""1191844"", ""True"", ""ExpressionStatement"", ""printf ( \""tree_foo: %d tree_bar: %d tree_foobar: %d tree_baz: %d\\n\"" , tree_foo ( ) , tree_bar ( ) , tree_foobar ( ) , tree_baz ( ) )""]",13,/data/download/CMake/CMake/Kitware_CMake_3_old.cpp,18,/data/download/CMake/CMake/Kitware_CMake_3_new.cpp,"[[[""printf"", ""\""foo: %d bar: %d foobar: %d barbar: %d baz: %d\\n\"""", ""foo"", ""bar"", ""foobar"", ""barbar"", ""baz""]], [[""ENTRY""]]]","[[[""printf"", ""\""foo: %d bar: %d foobar: %d barbar: %d baz: %d\\n\"""", ""foo"", ""bar"", ""foobar"", ""barbar"", ""baz""]], [[""ENTRY""]]]",[],"[""\""tree_foo: %d tree_bar: %d tree_foobar: %d tree_baz: %d\\n\""""]"
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,-,"[""1237823"", ""True"", ""ExpressionStatement"", ""yy_fatal_error ( \""cmCommandArgument_yyset_lineno called with no buffer\"" , yyscanner )""]",1814,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,1821,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp,"[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""yyscan_t""], ""yyscan_t""]]","[""\""cmCommandArgument_yyset_lineno called with no buffer\""""]"
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmCommandArgumentLexer.cxx,-,"[""1237868"", ""True"", ""ExpressionStatement"", ""yy_fatal_error ( \""cmCommandArgument_yyset_column called with no buffer\"" , yyscanner )""]",1829,/data/download/CMake/CMake/Kitware_CMake_4_old.cpp,1836,/data/download/CMake/CMake/Kitware_CMake_4_new.cpp,"[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""yyscan_t""], ""yyscan_t""]]","[""\""cmCommandArgument_yyset_column called with no buffer\""""]"
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmExprLexer.cxx,-,"[""1296630"", ""True"", ""ExpressionStatement"", ""yy_fatal_error ( \""cmExpr_yyset_lineno called with no buffer\"" , yyscanner )""]",1721,/data/download/CMake/CMake/Kitware_CMake_5_old.cpp,1796,/data/download/CMake/CMake/Kitware_CMake_5_new.cpp,"[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""yyscan_t""], ""yyscan_t""]]","[""\""cmExpr_yyset_lineno called with no buffer\""""]"
788581883fef05820f3f83ec5d1456490bc2397f,"Merge topic 'rebuild-lexers'

c5df1f16 Regenerate lexer source code",Source/cmExprLexer.cxx,-,"[""1296675"", ""True"", ""ExpressionStatement"", ""yy_fatal_error ( \""cmExpr_yyset_column called with no buffer\"" , yyscanner )""]",1736,/data/download/CMake/CMake/Kitware_CMake_5_old.cpp,1811,/data/download/CMake/CMake/Kitware_CMake_5_new.cpp,"[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""yyscan_t""], ""yyscan_t""]]","[""\""cmExpr_yyset_column called with no buffer\""""]"
c5df1f165c7f8f1e31e3144d326c6836af2e678d,"Regenerate lexer source code

Revise the manual procedure in the `*Lexer.in.l` files.  Some of our
post-processing steps are no longer necessary with the current set of
supported compilers.  Some steps changed with newer versions of flex.

Then regenerate all lexers with flex version 2.6.1.",Source/cmCommandArgumentLexer.cxx,-,"[""1343557"", ""True"", ""ExpressionStatement"", ""yy_fatal_error ( \""cmCommandArgument_yyset_lineno called with no buffer\"" , yyscanner )""]",1814,/data/download/CMake/CMake/Kitware_CMake_6_old.cpp,1821,/data/download/CMake/CMake/Kitware_CMake_6_new.cpp,"[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""yyscan_t""], ""yyscan_t""]]","[""\""cmCommandArgument_yyset_lineno called with no buffer\""""]"
c5df1f165c7f8f1e31e3144d326c6836af2e678d,"Regenerate lexer source code

Revise the manual procedure in the `*Lexer.in.l` files.  Some of our
post-processing steps are no longer necessary with the current set of
supported compilers.  Some steps changed with newer versions of flex.

Then regenerate all lexers with flex version 2.6.1.",Source/cmCommandArgumentLexer.cxx,-,"[""1343602"", ""True"", ""ExpressionStatement"", ""yy_fatal_error ( \""cmCommandArgument_yyset_column called with no buffer\"" , yyscanner )""]",1829,/data/download/CMake/CMake/Kitware_CMake_6_old.cpp,1836,/data/download/CMake/CMake/Kitware_CMake_6_new.cpp,"[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""yyscan_t""], ""yyscan_t""]]","[""\""cmCommandArgument_yyset_column called with no buffer\""""]"
c5df1f165c7f8f1e31e3144d326c6836af2e678d,"Regenerate lexer source code

Revise the manual procedure in the `*Lexer.in.l` files.  Some of our
post-processing steps are no longer necessary with the current set of
supported compilers.  Some steps changed with newer versions of flex.

Then regenerate all lexers with flex version 2.6.1.",Source/cmExprLexer.cxx,-,"[""1406393"", ""True"", ""ExpressionStatement"", ""yy_fatal_error ( \""cmExpr_yyset_lineno called with no buffer\"" , yyscanner )""]",1721,/data/download/CMake/CMake/Kitware_CMake_7_old.cpp,1796,/data/download/CMake/CMake/Kitware_CMake_7_new.cpp,"[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""yyscan_t""], ""yyscan_t""]]","[""\""cmExpr_yyset_lineno called with no buffer\""""]"
c5df1f165c7f8f1e31e3144d326c6836af2e678d,"Regenerate lexer source code

Revise the manual procedure in the `*Lexer.in.l` files.  Some of our
post-processing steps are no longer necessary with the current set of
supported compilers.  Some steps changed with newer versions of flex.

Then regenerate all lexers with flex version 2.6.1.",Source/cmExprLexer.cxx,-,"[""1406438"", ""True"", ""ExpressionStatement"", ""yy_fatal_error ( \""cmExpr_yyset_column called with no buffer\"" , yyscanner )""]",1736,/data/download/CMake/CMake/Kitware_CMake_7_old.cpp,1811,/data/download/CMake/CMake/Kitware_CMake_7_new.cpp,"[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""!"", ""YY_CURRENT_BUFFER""]]]","[[[""yyscan_t""], ""yyscan_t""]]","[""\""cmExpr_yyset_column called with no buffer\""""]"
