func_a,func_b,similarity
storeId,storeId,1.0
storeId,clientStoreIdDone,0.6666666666666666
storeId,clientStoreIdDone,0.6666666666666666
storeId,storeId,1.0
storeId,id,0.6666666666666666
storeId,id,0.6666666666666666
storeId,store,0.6666666666666666
storeId,id,0.6666666666666666
storeId,id,0.6666666666666666
storeId,StoreMapSlicesId,0.6666666666666666
storeId,id,0.6666666666666666
storeId,id,0.6666666666666666
storeId,storeId,1.0
storeId,id,0.6666666666666666
storeId,store,0.6666666666666666
storeId,storeId,1.0
storeId,storeId,1.0
storeId,store,0.6666666666666666
storeId,id,0.6666666666666666
storeId,StoreMapAnchorsId,0.6666666666666666
storeId,storeId,1.0
storeId,id,0.6666666666666666
storeId,storeId,1.0
storeId,storeId,1.0
storeId,storeId,1.0
storeId,id,0.6666666666666666
storeId,clientStoreIdStart,0.6666666666666666
storeId,store,0.6666666666666666
storeId,storeIdStart,0.8
terminate,terminate,1.0
terminate,terminate,1.0
terminate,terminateMaster,0.6666666666666666
terminate,terminate,1.0
terminate,terminate,1.0
terminate,TerminateThread,0.6666666666666666
terminate,terminate,1.0
terminate,terminate,1.0
terminate,terminate,1.0
terminate,terminate,1.0
terminate,terminate,1.0
terminate,TerminateProcess,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,Get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,GetInstance,1.0
GetInstance,GetInstance,1.0
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,getInstance,1.0
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,GetInstance,1.0
GetInstance,Instance,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,GetInstance,1.0
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
GetInstance,get,0.6666666666666666
pullData,pullData,1.0
pullData,pullData,1.0
pullData,data,0.6666666666666666
pullData,data,0.6666666666666666
pullData,data,0.6666666666666666
pullData,pullData,1.0
pullData,data,0.6666666666666666
nfct_open,nfct_open,1.0
getSockAddr,getSockAddr,1.0
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getSockAddr,1.0
getSockAddr,getSockAddr,1.0
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,getSockAddr,1.0
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getSockAddr,1.0
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,getSockAddr,1.0
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,isSockAddr,0.6666666666666666
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,isSockAddr,0.6666666666666666
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,isSockAddr,0.6666666666666666
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getSockAddr,1.0
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getSockAddr,1.0
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,getAddrInfo,0.6666666666666666
getSockAddr,isSockAddr,0.6666666666666666
getSockAddr,getInAddr,0.6666666666666666
getSockAddr,getInAddr,0.6666666666666666
write,write,1.0
write,writeMore,0.6666666666666666
write,writeSize,0.6666666666666666
write,write,1.0
write,Write,1.0
write,writeDone,0.6666666666666666
write,writeComplete,0.6666666666666666
write,logfileWrite,0.6666666666666666
write,write,1.0
write,writeAnchor,0.6666666666666666
write,writeComplete,0.6666666666666666
write,write,1.0
write,writeReply,0.6666666666666666
write,diskerWrite,0.6666666666666666
write,write,1.0
write,write,1.0
write,write,1.0
write,queueWrite,0.6666666666666666
write,write,1.0
write,write,1.0
write,write,1.0
write,writeAvailable,0.6666666666666666
write,canWrite,0.6666666666666666
write,writeCommand,0.6666666666666666
write,write,1.0
write,write,1.0
write,writeDone,0.6666666666666666
write,write,1.0
write,write,1.0
write,write,1.0
write,tryWrite,0.6666666666666666
write,Write,1.0
write,scheduleWrite,0.6666666666666666
write,writeTime,0.6666666666666666
write,writeCommand,0.6666666666666666
write,doWrite,0.6666666666666666
write,write,1.0
write,write,1.0
write,write,1.0
write,writeError,0.6666666666666666
write,holdWrite,0.6666666666666666
write,WriteFile,0.6666666666666666
write,write,1.0
write,writeError,0.6666666666666666
write,writeCompleted,0.6666666666666666
write,aioWrite,0.6666666666666666
FlushPipe,FlushPipe,1.0
FlushPipe,Flush,0.6666666666666666
FlushPipe,flush,0.6666666666666666
FlushPipe,flush,0.6666666666666666
FlushPipe,flush,0.6666666666666666
FlushPipe,flush,0.6666666666666666
