code,location,file,cdg_nodes,neighbor_node,context_list,ddg_list,static_list,cluster_index
"bftpd_log ( ""Unable to create buffer to receive file.\n"" , 0 )",670:7:18905:18963,/data/download/bftpd/bftpd/commands.c,"[[""True"", [4315, ""True"", ""! buffer"", ""Condition""]], [""True"", [4415, ""True"", ""dataconn ( )"", ""Condition""]], [""False"", [4457, ""True"", ""! my_zip_file"", ""Condition""]], [""False"", [4487, ""True"", ""attempt_gzip"", ""Condition""]], [""False"", [4487, ""True"", ""attempt_gzip"", ""Condition""]], [""False"", [4571, ""True"", ""! attempt_gzip"", ""Condition""]], [""False"", [4552, ""True"", ""fd == - 1"", ""Condition""]]]",[],"[[[""!"", ""char *""]], [[""dataconn""]], [[""!"", ""gzFile""]], [[""int""]], [[""int""]], [[""!"", ""int""]], [[""int"", ""-"", ""1"", ""==""]]]",[],"[""\""Unable to create buffer to receive file.\\n\"""", ""0""]"
"bftpd_log ( ""Client is storing file '%s'.\n"" , filename )",637:1:17986:18039,/data/download/bftpd/bftpd/commands.c,"[[""False"", [4457, ""True"", ""! my_zip_file"", ""Condition""]], [""False"", [4487, ""True"", ""attempt_gzip"", ""Condition""]], [""False"", [4487, ""True"", ""attempt_gzip"", ""Condition""]], [""False"", [4571, ""True"", ""! attempt_gzip"", ""Condition""]], [""False"", [4552, ""True"", ""fd == - 1"", ""Condition""]], [""False"", [4571, ""True"", ""! attempt_gzip"", ""Condition""]], [""False"", [4552, ""True"", ""fd == - 1"", ""Condition""]], [""False"", [4635, ""True"", ""fd >= 0"", ""Condition""]], [""False"", [4612, ""True"", ""! strcasecmp ( config_getoption ( \""ALLOWCOMMAND_DELE\"" ) , \""no\"" )"", ""Condition""]], [""True"", [4571, ""True"", ""! attempt_gzip"", ""Condition""]], [""False"", [4635, ""True"", ""fd >= 0"", ""Condition""]], [""False"", [4612, ""True"", ""! strcasecmp ( config_getoption ( \""ALLOWCOMMAND_DELE\"" ) , \""no\"" )"", ""Condition""]], [""True"", [4571, ""True"", ""! attempt_gzip"", ""Condition""]], [""True"", [4635, ""True"", ""fd >= 0"", ""Condition""]], [""False"", [4635, ""True"", ""fd >= 0"", ""Condition""]], [""False"", [4612, ""True"", ""! strcasecmp ( config_getoption ( \""ALLOWCOMMAND_DELE\"" ) , \""no\"" )"", ""Condition""]]]",[],"[[[""!"", ""gzFile""]], [[""int""]], [[""int""]], [[""!"", ""int""]], [[""int"", ""-"", ""1"", ""==""]], [[""!"", ""int""]], [[""int"", ""-"", ""1"", ""==""]], [[""int"", ""0"", "">=""]], [[""!"", ""strcasecmp"", ""config_getoption"", ""\""ALLOWCOMMAND_DELE\"""", ""\""no\""""]], [[""!"", ""int""]], [[""int"", ""0"", "">=""]], [[""!"", ""strcasecmp"", ""config_getoption"", ""\""ALLOWCOMMAND_DELE\"""", ""\""no\""""]], [[""!"", ""int""]], [[""int"", ""0"", "">=""]], [[""int"", ""0"", "">=""]], [[""!"", ""strcasecmp"", ""config_getoption"", ""\""ALLOWCOMMAND_DELE\"""", ""\""no\""""]]]","[[[""char *""], ""char *""]]","[""\""Client is storing file '%s'.\\n\""""]"
"bftpd_log ( ""Error: '%s' while trying to store file '%s'.\n"" , strerror ( errno ) , filename )",606:2:17134:17226,/data/download/bftpd/bftpd/commands.c,"[[""True"", [4552, ""True"", ""fd == - 1"", ""Condition""]], [""True"", [4571, ""True"", ""! attempt_gzip"", ""Condition""]], [""False"", [4635, ""True"", ""fd >= 0"", ""Condition""]], [""False"", [4612, ""True"", ""! strcasecmp ( config_getoption ( \""ALLOWCOMMAND_DELE\"" ) , \""no\"" )"", ""Condition""]], [""True"", [4635, ""True"", ""fd >= 0"", ""Condition""]]]",[],"[[[""int"", ""-"", ""1"", ""==""]], [[""!"", ""int""]], [[""int"", ""0"", "">=""]], [[""!"", ""strcasecmp"", ""config_getoption"", ""\""ALLOWCOMMAND_DELE\"""", ""\""no\""""]], [[""int"", ""0"", "">=""]]]","[[[""char *""], ""char *""]]","[""\""Error: '%s' while trying to store file '%s'.\\n\""""]"
"bftpd_log ( ""Not allowed to over-write '%s'.\n"" , filename )",587:14:16673:16729,/data/download/bftpd/bftpd/commands.c,"[[""True"", [4612, ""True"", ""! strcasecmp ( config_getoption ( \""ALLOWCOMMAND_DELE\"" ) , \""no\"" )"", ""Condition""]], [""True"", [4635, ""True"", ""fd >= 0"", ""Condition""]]]","[["""", [4628, ""True"", ""close ( fd )"", ""ExpressionStatement""]], ["""", [4639, ""True"", ""fd = open ( mapped , O_RDONLY )"", ""ExpressionStatement""]]]","[[[""!"", ""strcasecmp"", ""config_getoption"", ""\""ALLOWCOMMAND_DELE\"""", ""\""no\""""]], [[""int"", ""0"", "">=""]], [[""close"", ""int""]], [[""int"", ""open"", ""char *"", ""O_RDONLY"", ""=""]]]","[[[""char *""], ""char *""]]","[""\""Not allowed to over-write '%s'.\\n\""""]"
"bftpd_log ( ""Error getting xfer_delay in do_stor().\n"" , 0 )",573:11:16179:16235,/data/download/bftpd/bftpd/commands.c,"[[""False"", [4670, ""True"", ""get_value <= INT_MAX"", ""Condition""]]]","[["""", [4674, ""True"", ""get_value = strtoul ( config_getoption ( \""XFER_DELAY\"" ) , NULL , 0 )"", ""ExpressionStatement""]], ["""", [4694, ""True"", ""attempt_gzip = FALSE"", ""ExpressionStatement""]], ["""", [4699, ""True"", ""strcat ( mapped , \"".gz\"" )"", ""ExpressionStatement""]], ["""", [4708, ""True"", ""attempt_gzip = TRUE"", ""ExpressionStatement""]]]","[[[""unsigned long"", ""INT_MAX"", ""<=""]], [[""unsigned long"", ""strtoul"", ""config_getoption"", ""\""XFER_DELAY\"""", ""NULL"", ""0"", ""=""]], [[""int"", ""FALSE"", ""=""]], [[""strcat"", ""char *"", ""\"".gz\""""]], [[""int"", ""TRUE"", ""=""]]]",[],"[""\""Error getting xfer_delay in do_stor().\\n\"""", ""0""]"
"bftpd_log ( ""Error: Filename in '%s' too long.\n"" , filenames )",846:3:24103:24162,/data/download/bftpd/bftpd/commands.c,"[[""True"", [4988, ""True"", ""to_index > ( MAXCMD - 2 )"", ""Condition""]], [""False"", [5087, ""True"", ""filenames [ from_index ] > 0"", ""Condition""]], [""False"", [4988, ""True"", ""to_index > ( MAXCMD - 2 )"", ""Condition""]], [""False"", [5087, ""True"", ""filenames [ from_index ] > 0"", ""Condition""]]]","[["""", [4999, ""True"", ""from_index ++"", ""ExpressionStatement""]], ["""", [5003, ""True"", ""memset ( filename , 0 , MAXCMD )"", ""ExpressionStatement""]], ["""", [5031, ""True"", ""from_index ++"", ""ExpressionStatement""]], ["""", [5049, ""True"", ""from_index ++"", ""ExpressionStatement""]], ["""", [5059, ""True"", ""memset ( filename , 0 , MAXCMD )"", ""ExpressionStatement""]], ["""", [5014, ""True"", ""to_index = 0"", ""ExpressionStatement""]], ["""", [5035, ""True"", ""to_index ++"", ""ExpressionStatement""]], ["""", [5070, ""True"", ""to_index = 0"", ""ExpressionStatement""]]]","[[[""int"", ""MAXCMD"", ""2"", ""-"", "">""]], [[""char *"", ""int"", ""0"", "">""]], [[""int"", ""MAXCMD"", ""2"", ""-"", "">""]], [[""char *"", ""int"", ""0"", "">""]], [[""int""]], [[""memset"", ""char [ MAXCMD ]"", ""0"", ""MAXCMD""]], [[""int""]], [[""int""]], [[""memset"", ""char [ MAXCMD ]"", ""0"", ""MAXCMD""]], [[""int"", ""0"", ""=""]], [[""int""]], [[""int"", ""0"", ""=""]]]","[[[""char *""], ""char *""]]","[""\""Error: Filename in '%s' too long.\\n\""""]"
"bftpd_log ( ""File transmission of '%s' successful.\n"" , filename )",1276:1:38220:38282,/data/download/bftpd/bftpd/commands.c,"[[""False"", [5988, ""True"", ""! buffer"", ""Condition""]], [""False"", [6535, ""True"", ""whattodo"", ""Condition""]], [""False"", [6476, ""True"", ""! buffer"", ""Condition""]], [""False"", [5389, ""True"", ""i = read ( phile , buffer , my_buffer_size )"", ""Condition""]], [""False"", [6167, ""True"", ""dataconn ( )"", ""Condition""]], [""False"", [6489, ""True"", ""fork ( )"", ""Condition""]], [""False"", [5719, ""True"", ""! buffer"", ""Condition""]], [""False"", [6021, ""True"", ""dataconn ( )"", ""Condition""]], [""False"", [6590, ""True"", ""( ( ( statbuf . st_size - offset ) * ratio_send ) / ratio_recv > bytes_recvd - bytes_sent ) && ( strcmp ( ( char * ) config_getoption ( \""RATIO\"" ) , \""none\"" ) )"", ""Condition""]], [""True"", [6489, ""True"", ""fork ( )"", ""Condition""]], [""True"", [5464, ""True"", ""! buffer"", ""Condition""]], [""True"", [5322, ""True"", ""send_status < 0"", ""Condition""]], [""case DO_TARONLY"", [6535, ""True"", ""whattodo"", ""Condition""]], [""False"", [6521, ""True"", ""dataconn ( )"", ""Condition""]], [""False"", [5769, ""True"", ""! gzfile"", ""Condition""]], [""False"", [6045, ""True"", ""( phile = open ( mapped , O_RDONLY ) ) < 0"", ""Condition""]], [""False"", [6642, ""True"", ""S_ISDIR ( statbuf . st_mode )"", ""Condition""]], [""False"", [6521, ""True"", ""dataconn ( )"", ""Condition""]], [""False"", [5505, ""True"", ""dataconn ( )"", ""Condition""]], [""True"", [5378, ""True"", ""test_abort ( 1 , phile , sock )"", ""Condition""]], [""False"", [6590, ""True"", ""( ( ( statbuf . st_size - offset ) * ratio_send ) / ratio_recv > bytes_recvd - bytes_sent ) && ( strcmp ( ( char * ) config_getoption ( \""RATIO\"" ) , \""none\"" ) )"", ""Condition""]], [""case DO_TARGZ"", [6535, ""True"", ""whattodo"", ""Condition""]], [""False"", [5786, ""True"", ""dataconn ( )"", ""Condition""]], [""False"", [6535, ""True"", ""whattodo"", ""Condition""]], [""True"", [6873, ""True"", ""phile == - 1"", ""Condition""]], [""True"", [6770, ""True"", ""whattodo == DO_NORMAL"", ""Condition""]], [""case DO_TARGZ"", [6535, ""True"", ""whattodo"", ""Condition""]], [""False"", [6535, ""True"", ""whattodo"", ""Condition""]], [""True"", [5389, ""True"", ""i = read ( phile , buffer , my_buffer_size )"", ""Condition""]], [""False"", [6642, ""True"", ""S_ISDIR ( statbuf . st_mode )"", ""Condition""]], [""False"", [6590, ""True"", ""( ( ( statbuf . st_size - offset ) * ratio_send ) / ratio_recv > bytes_recvd - bytes_sent ) && ( strcmp ( ( char * ) config_getoption ( \""RATIO\"" ) , \""none\"" ) )"", ""Condition""]], [""case DO_GZUNZIP"", [6535, ""True"", ""whattodo"", ""Condition""]]]",[],"[[[""!"", ""char *""]], [[""int""]], [[""!"", ""char *""]], [[""i"", ""read"", ""int"", ""char *"", ""int"", ""=""]], [[""dataconn""]], [[""fork""]], [[""!"", ""char *""]], [[""dataconn""]], [[""struct stat"", ""st_size"", ""offset"", ""-"", ""ratio_send"", ""*"", ""ratio_recv"", ""/"", ""bytes_recvd"", ""bytes_sent"", ""-"", "">""]], [[""strcmp"", ""config_getoption"", ""\""RATIO\"""", ""\""none\""""]], [[""fork""]], [[""!"", ""char *""]], [[""ssize_t"", ""0"", ""<""]], [[""int"", ""DO_TARONLY"", ""==""]], [[""dataconn""]], [[""!"", ""gzFile""]], [[""phile"", ""open"", ""char *"", ""O_RDONLY"", ""="", ""0"", ""<""]], [[""S_ISDIR"", ""struct stat"", ""st_mode""]], [[""dataconn""]], [[""dataconn""]], [[""test_abort"", ""1"", ""int"", ""sock""]], [[""struct stat"", ""st_size"", ""offset"", ""-"", ""ratio_send"", ""*"", ""ratio_recv"", ""/"", ""bytes_recvd"", ""bytes_sent"", ""-"", "">""]], [[""strcmp"", ""config_getoption"", ""\""RATIO\"""", ""\""none\""""]], [[""int"", ""DO_TARGZ"", ""==""]], [[""dataconn""]], [[""int""]], [[""int"", ""-"", ""1"", ""==""]], [[""int"", ""DO_NORMAL"", ""==""]], [[""int"", ""DO_TARGZ"", ""==""]], [[""int""]], [[""i"", ""read"", ""int"", ""char *"", ""int"", ""=""]], [[""S_ISDIR"", ""struct stat"", ""st_mode""]], [[""struct stat"", ""st_size"", ""offset"", ""-"", ""ratio_send"", ""*"", ""ratio_recv"", ""/"", ""bytes_recvd"", ""bytes_sent"", ""-"", "">""]], [[""strcmp"", ""config_getoption"", ""\""RATIO\"""", ""\""none\""""]], [[""int"", ""DO_GZUNZIP"", ""==""]]]","[[[""char *""], ""char *""]]","[""\""File transmission of '%s' successful.\\n\""""]"
"bftpd_log ( ""File transmission interrupted. Send failed.\n"" )",1247:35:37166:37224,/data/download/bftpd/bftpd/commands.c,"[[""True"", [5322, ""True"", ""send_status < 0"", ""Condition""]], [""True"", [5378, ""True"", ""test_abort ( 1 , phile , sock )"", ""Condition""]], [""True"", [5389, ""True"", ""i = read ( phile , buffer , my_buffer_size )"", ""Condition""]], [""True"", [5464, ""True"", ""! buffer"", ""Condition""]], [""True"", [5322, ""True"", ""send_status < 0"", ""Condition""]]]",[],"[[[""ssize_t"", ""0"", ""<""]], [[""test_abort"", ""1"", ""int"", ""sock""]], [[""i"", ""read"", ""int"", ""char *"", ""int"", ""=""]], [[""!"", ""char *""]], [[""ssize_t"", ""0"", ""<""]]]",[],"[""\""File transmission interrupted. Send failed.\\n\""""]"
"bftpd_log ( ""Memory error while trying to send file."" , 0 )",1214:28:35730:35785,/data/download/bftpd/bftpd/commands.c,"[[""True"", [5464, ""True"", ""! buffer"", ""Condition""]], [""False"", [5505, ""True"", ""dataconn ( )"", ""Condition""]], [""False"", [6535, ""True"", ""whattodo"", ""Condition""]], [""False"", [6590, ""True"", ""( ( ( statbuf . st_size - offset ) * ratio_send ) / ratio_recv > bytes_recvd - bytes_sent ) && ( strcmp ( ( char * ) config_getoption ( \""RATIO\"" ) , \""none\"" ) )"", ""Condition""]]]","[["""", [5455, ""True"", ""control_printf ( SL_FAILURE , \""553 An unknown error occured.\"" )"", ""ExpressionStatement""]], ["""", [5468, ""True"", ""buffer = malloc ( xfer_bufsize * 2 + 1 )"", ""ExpressionStatement""]], ["""", [5481, ""True"", ""offset = 0"", ""ExpressionStatement""]]]","[[[""!"", ""char *""]], [[""dataconn""]], [[""int""]], [[""struct stat"", ""st_size"", ""offset"", ""-"", ""ratio_send"", ""*"", ""ratio_recv"", ""/"", ""bytes_recvd"", ""bytes_sent"", ""-"", "">""]], [[""strcmp"", ""config_getoption"", ""\""RATIO\"""", ""\""none\""""]], [[""control_printf"", ""SL_FAILURE"", ""\""553 An unknown error occured.\""""]], [[""char *"", ""malloc"", ""xfer_bufsize"", ""2"", ""*"", ""1"", ""+"", ""=""]], [[""offset"", ""0"", ""=""]]]",[],"[""\""Memory error while trying to send file.\"""", ""0""]"
"bftpd_log ( ""Memory error while sending file."" , 0 )",1150:18:33467:33515,/data/download/bftpd/bftpd/commands.c,"[[""True"", [5719, ""True"", ""! buffer"", ""Condition""]], [""False"", [5769, ""True"", ""! gzfile"", ""Condition""]], [""False"", [5786, ""True"", ""dataconn ( )"", ""Condition""]], [""case DO_GZUNZIP"", [6535, ""True"", ""whattodo"", ""Condition""]]]","[["""", [5705, ""True"", ""gzclose ( gzfile )"", ""ExpressionStatement""]], ["""", [5712, ""True"", ""close ( phile )"", ""ExpressionStatement""]], ["""", [5723, ""True"", ""buffer = malloc ( xfer_bufsize )"", ""ExpressionStatement""]]]","[[[""!"", ""char *""]], [[""!"", ""gzFile""]], [[""dataconn""]], [[""int"", ""DO_GZUNZIP"", ""==""]], [[""gzclose"", ""gzFile""]], [[""close"", ""int""]], [[""char *"", ""malloc"", ""xfer_bufsize"", ""=""]]]",[],"[""\""Memory error while sending file.\"""", ""0""]"
