commit_sha,commit_message,file_name,change_type,log_statement,log_loc,store_name
ad9f3df970b0b7d2465268e1d34d5198d7296298,SERVER-26190 Make waitUntilOpTimeForRead interruptible,src/mongo/db/repl/replication_coordinator_impl.cpp,+,"LOG(3) << ""waituntilOpTime: waiting for OpTime "" << waitInfo.waiter << "" until """,1263,download/mongodb_mongo658.cpp
ad9f3df970b0b7d2465268e1d34d5198d7296298,SERVER-26190 Make waitUntilOpTimeForRead interruptible,src/mongo/db/repl/replication_coordinator_impl.cpp,+,"txn->waitForConditionOrInterruptNoAssertUntil(condVar, lock, txn->getDeadline());",1267,download/mongodb_mongo658.cpp
493aede8171057c8a0d14d567fae6236c1a0b995,SERVER-26144 add additional logging to ScopedMigrationRequest to aid debugging the balancer,src/mongo/s/balancer/scoped_migration_request.cpp,-,Status result = grid.catalogClient(txn)->insertConfigDocument(,99,download/mongodb_mongo659.cpp
493aede8171057c8a0d14d567fae6236c1a0b995,SERVER-26144 add additional logging to ScopedMigrationRequest to aid debugging the balancer,src/mongo/s/balancer/scoped_migration_request.cpp,+,Status result = grid.catalogClient(txn)->insertConfigDocument(,122,download/mongodb_mongo659.cpp
493aede8171057c8a0d14d567fae6236c1a0b995,SERVER-26144 add additional logging to ScopedMigrationRequest to aid debugging the balancer,src/mongo/s/balancer/scoped_migration_request.cpp,+,"log() << ""Failed to write document '"" << redact(migrateInfo.toString())",170,download/mongodb_mongo659.cpp
493aede8171057c8a0d14d567fae6236c1a0b995,SERVER-26144 add additional logging to ScopedMigrationRequest to aid debugging the balancer,src/mongo/s/balancer/scoped_migration_request.cpp,-,"log() << ""Failed to write document '"" << migrateInfo",182,download/mongodb_mongo659.cpp
493aede8171057c8a0d14d567fae6236c1a0b995,SERVER-26144 add additional logging to ScopedMigrationRequest to aid debugging the balancer,src/mongo/s/balancer/scoped_migration_request.cpp,+,"LOG(1) << ""Keeping config.migrations document with namespace '"" << _nss << ""' and minKey '""",184,download/mongodb_mongo659.cpp
5053f4f67527df0d6ed92fe20fb660ab8e003e1d,"Revert ""SERVER-25942 Don't validate views in listCollections unless they are being returned""

This reverts commit 079836dc8be3c89fb474c6f7c006154a626c6dac.",src/mongo/db/commands/list_collections.cpp,-,"db->getViewCatalog()->iterate(txn, [&](const ViewDefinition& view) {",272,download/mongodb_mongo660.cpp
5053f4f67527df0d6ed92fe20fb660ab8e003e1d,"Revert ""SERVER-25942 Don't validate views in listCollections unless they are being returned""

This reverts commit 079836dc8be3c89fb474c6f7c006154a626c6dac.",src/mongo/db/commands/list_collections.cpp,+,"db->getViewCatalog()->iterate(txn, [&](const ViewDefinition& view) {",278,download/mongodb_mongo660.cpp
079836dc8be3c89fb474c6f7c006154a626c6dac,SERVER-25942 Don't validate views in listCollections unless they are being returned,src/mongo/db/commands/list_collections.cpp,-,"db->getViewCatalog()->iterate(txn, [&](const ViewDefinition& view) {",271,download/mongodb_mongo661.cpp
079836dc8be3c89fb474c6f7c006154a626c6dac,SERVER-25942 Don't validate views in listCollections unless they are being returned,src/mongo/db/commands/list_collections.cpp,+,"db->getViewCatalog()->iterate(txn, [&](const ViewDefinition& view) {",281,download/mongodb_mongo661.cpp
79217aff3a1b4be7ec325a802d8601b489efce97,SERVER-25268 added OplogBufferProxy. caches front and back values of the underlying OplogBuffer,src/mongo/db/repl/oplog_buffer_proxy.cpp,+,OplogBufferProxy::OplogBufferProxy(std::unique_ptr<OplogBuffer> target),38,download/mongodb_mongo662.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,-,"LOG(1) << ""Refreshing the active metadata from """,69,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,-,"log() << ""Marking collection as not sharded."";",87,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,+,"log() << ""Marking collection "" << _nss.ns() << "" with """,87,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,-,"log() << ""Marking collection as sharded with "" << remoteMetadata->toStringBasic();",99,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,+,"log() << ""Marking collection "" << _nss.ns() << "" as sharded with """,99,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,-,"log() << ""Overwriting collection metadata due to epoch change."";",112,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,+,"log() << ""Overwriting metadata for collection "" << _nss.ns() << "" from """,112,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,-,"LOG(1) << ""Attempted to refresh active metadata """,125,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,+,"LOG(1) << ""Ignoring refresh of active metadata """,125,download/mongodb_mongo663.cpp
acd6a7824dca76a94ee872d9e86df9487f406fd2,SERVER-26107 Improve logging around sharding metadata refresh in MetadataManager,src/mongo/db/s/metadata_manager.cpp,+,"LOG(1) << ""Refreshing metadata for collection "" << _nss.ns() << "" from """,132,download/mongodb_mongo663.cpp
