patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_words,edit_feature
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,1471,-263,1753,-1,"sqlite3_mprintf(""SELECT %s WHERE rowid = ?"", p->zReadExprlist);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_10.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_10.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_10.cpp,9,"[[u'sqlite3_mprintf', u'SELECT', u'%s', u'WHERE', u'rowid', u'p', u'zReadExprlist'], []]",[-7549225107685032854]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,2995,-263,3277,-1,"sqlite3_mprintf(
          ""SELECT %s WHERE rowid BETWEEN %lld AND %lld ORDER BY rowid %s"",
          p->zReadExprlist, pCsr->iMinDocid, pCsr->iMaxDocid,
          (pCsr->bDesc ? ""DESC"" : ""ASC"")
      );",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_11.cpp,82,"[[u'sqlite3_mprintf', u'SELECT', u'%s', u'WHERE', u'rowid', u'BETWEEN', u'%lld', u'AND', u'%lld', u'ORDER', u'BY', u'rowid', u'%s', u'p', u'zReadExprlist', u'pCsr', u'iMinDocid', u'pCsr', u'iMaxDocid', u'pCsr', u'bDesc', u'DESC', u'ASC'], []]",[-26215506664329257008]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,3001,-263,3283,-1,"sqlite3_mprintf(""SELECT %s ORDER BY rowid %s"", 
          p->zReadExprlist, (pCsr->bDesc ? ""DESC"" : ""ASC"")
      );",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_12.cpp,88,"[[u'sqlite3_mprintf', u'SELECT', u'%s', u'ORDER', u'BY', u'rowid', u'%s', u'p', u'zReadExprlist', u'pCsr', u'bDesc', u'DESC', u'ASC'], []]",[-2329600323997156721]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,3180,-263,3462,-1,"sqlite3_mprintf(""%s_stat"", p->zName);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_13.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_13.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_13.cpp,3,"[[u'sqlite3_mprintf', u'%s_stat', u'p', u'zName'], []]",[-745369966264889830]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,3296,-263,3578,-1,"sqlite3_mprintf(""illegal first argument to %s"", zFunc);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_14.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_14.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_14.cpp,11,"[[u'sqlite3_mprintf', u'illegal', u'first', u'argument', u'to', u'%s', u'zFunc'], []]",[-12700793123216011270]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,3297,-263,3579,-1,"sqlite3_result_error(pContext, zErr, -1);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_15.cpp,12,"[[u'sqlite3_result_error', u'pContext', u'zErr', u'1'], []]",[814784392022673730]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,3325,-263,3607,-1,"sqlite3_result_error(pContext, 
        ""wrong number of arguments to function snippet()"", -1);",,7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_16.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_16.cpp,18,"[[u'sqlite3_result_error', u'pContext', u'wrong', u'number', u'of', u'arguments', u'to', u'function', u'snippet', u'1'], []]",[19047025634054727475]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,-283,2559,-1,2821,,"sqlite3_mprintf(""c%d%s"", i, azArg[i]);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_17.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_17.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_17.cpp,76,"[[], [u'sqlite3_mprintf', u'c%d%s', u'i', u'azArg[i]']]",[3108742498544223086]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,-283,2589,-1,2851,,"sqlite3_mprintf(""CREATE TABLE x"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_18.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_18.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_18.cpp,8,"[[], [u'sqlite3_mprintf', u'CREATE', u'TABLE', u'x']]",[-3047083964412275615]
sqlite-3.6.10_diff_sqlite-3.6.15,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.10/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/repos/sqlite-3.6.15/ext/fts3/fts3.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_patch_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_hunk_1.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_hunk_1.cpp,-283,2591,-1,2853,,"sqlite3_mprintf(""%s%s%Q"", zSchema, zSep, azColumn[i]);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_old_log_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_new_log_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/sqlite/gumtree/sqlite_function_19.cpp,10,"[[], [u'sqlite3_mprintf', u'%s%s%Q', u'zSchema', u'zSep', u'azColumn[i]']]",[21174802302177284038]
