class,check,variable
1608,[null],"[""apr_file_open_stderr_arg_ret"", null, ""apr_app_initialize_arg_ret"", ""apr_getopt_arg_ret"", null]"
1609,"["""", null]","[""apr_file_open_stderr_arg_ret"", null]"
1973,[null],[null]
52,"[""apr_pollset_remove_ret"", null]","[""apr_pollset_remove_ret""]"
53,"[""apr_pollset_add_ret"", null]","[""apr_pollset_add_ret""]"
54,"[""apr_time_now_ret"", ""close_connection_arg"", null, null]",[]
55,"[""APR_STATUS_IS_EAGAIN_ret"", ""apr_socket_send_ret"", null]",[]
1904,"[null, null]",[null]
1906,"[null, null]",[]
56,"[null, null]","[null, null]"
57,"[null, null]","[""double_ret""]"
58,"[null, null]","[""sqrt_arg""]"
1962,[null],"[null, null, null, null]"
1610,[null],"[null, ""double_arg""]"
1913,[null],"[null, null]"
59,"[""double_ret"", ""sqrt_arg""]","[null, ""sqrt_arg"", ""double_ret""]"
60,"[""double_ret"", ""sqrt_arg""]","[null, null, ""double_ret"", ""sqrt_arg""]"
61,"[""double_ret"", ""sqrt_arg""]","[null, ""double_ret"", ""sqrt_arg""]"
62,"[""double_ret"", ""sqrt_arg""]","[null, ""double_arg"", ""double_ret""]"
63,[null],"[null, ""double_arg"", ""double_ret""]"
64,[null],"[""double_ret"", ""double_ret""]"
65,"[""sqrt_arg""]",[]
1963,[null],[]
1905,[null],"[null, ""ap_round_ms_ret"", ""ap_round_ms_ret"", ""ap_double_ms_ret"", ""ap_round_ms_ret"", ""ap_round_ms_ret""]"
1611,[null],"[null, ""ap_round_ms_ret"", ""ap_round_ms_ret"", ""ap_round_ms_ret""]"
66,[null],"[null, ""ap_round_ms_ret"", ""ap_round_ms_ret"", ""ap_round_ms_ret"", ""ap_round_ms_ret"", ""ap_round_ms_ret"", ""ap_round_ms_ret""]"
1612,"[null, ""int_arg""]",[]
67,"[null, ""int_arg""]","[""ap_round_ms_ret"", null]"
68,"[null, ""int_arg""]","[""ap_round_ms_ret"", ""int_ret"", null, null, ""int_arg""]"
1613,"[""fopen_arg""]","[""fopen_ret""]"
69,"[""fopen_arg""]","[""fopen_ret"", ""int"", ""ap_double_ms_ret""]"
70,"[""fopen_arg""]","[""apr_time_sec_ret"", ""ap_round_ms_ret"", ""ap_round_ms_ret"", ""ap_round_ms_ret"", ""ap_round_ms_ret"", ""fopen_ret"", null, null, null, null, null, null]"
1615,[null],"[null, null, null, null, null]"
1614,[null],"[null, null, null, null, ""double_arg""]"
71,"[""double_ret""]","[null, null, null, null, null, ""double_ret""]"
72,"[""double_ret""]","[null, null, null, null, ""double_arg"", ""double_ret""]"
73,[null],"[null, null, null, null, ""double_arg"", ""double_ret""]"
74,[null],"[""double_ret"", null, null, null, ""double_ret""]"
1616,[null],"[null, null, null, null, null, null, ""ap_round_ms_ret"", null, ""ap_round_ms_ret"", null, null, ""ap_round_ms_ret""]"
75,[null],"[null, null, null, null, null, null, ""ap_round_ms_ret"", ""ap_round_ms_ret"", null, ""ap_round_ms_ret"", null, ""ap_round_ms_ret"", null, null, ""ap_round_ms_ret"", ""ap_round_ms_ret""]"
76,"[""apr_socket_create_ret"", ""apr_socket_create_ret"", null]","[""apr_socket_create_ret""]"
77,"[""apr_socket_opt_set_ret"", ""apr_socket_opt_set_ret"", null]","[""apr_socket_opt_set_ret""]"
1617,"[""apr_socket_opt_set_ret"", null, ""apr_socket_opt_set_ret"", null]","[""apr_socket_opt_set_ret""]"
1618,[null],"[""apr_socket_connect_ret""]"
1619,"[null, null, null]","[""fflush_arg"", null]"
78,[null],"[""apr_strerror_ret"", ""fflush_arg"", ""apr_socket_recv_ret""]"
79,[null],"[""apr_socket_recv_ret""]"
