class,check,variable
411,"[""safe_strdup_ret""]","[""fputc_arg""]"
412,"[""getenv_ret"", ""getenv_ret""]","[""fputc_arg""]"
413,"[""getenv_ret"", ""getenv_ret""]",[]
414,"[""uname_ret""]",[]
645,"[""source_rc_ret""]","[""source_rc_arg_ret"", null, ""fputc_arg""]"
415,"[""mutt_menuLoop_ret"", null]",[]
416,"[""option_ret"", ""pgp_id_is_valid_ret"", ""pgp_id_is_strong_ret""]",[]
417,"[""option_ret"", ""pgp_id_is_valid_ret"", ""pgp_id_is_strong_ret""]","[""N__ret""]"
418,"[""getegid_ret"", ""getgid_ret""]","[null, ""getopt_arg""]"
419,"[""mutt_atoi_ret"", ""mutt_atoi_arg_ret""]","[null, ""mutt_atoi_arg_ret""]"
420,"[""mutt_atoi_ret"", ""mutt_atoi_arg_ret""]",[]
421,"[""getopt_ret""]","[""mutt_atoi_arg_ret""]"
422,"[""getopt_ret""]",[]
423,"[""int""]","[""mutt_make_version_ret""]"
714,"[""int""]",[null]
424,"[""mutt_lookup_alias_ret"", ""mutt_lookup_alias_ret""]","[""mutt_add_list_arg_ret"", null]"
425,"[""stat_ret"", ""strerror_arg"", null]",[]
426,[null],"[""sizeof_arg_ret"", null]"
427,"[""mkdir_ret"", ""strerror_arg"", null]",[]
428,"[""url_parse_mailto_ret""]",[null]
429,"[""url_parse_mailto_ret""]",[]
430,"[""option_ret"", ""perror_arg"", ""mutt_new_header_ret"", null, null, ""mutt_new_header_ret"", null, null]",[null]
431,"[""option_ret"", ""perror_arg"", ""mutt_new_header_ret"", null, null, ""mutt_new_header_ret"", null, null]",[]
432,"[""url_parse_mailto_arg_ret""]","[""url_parse_mailto_arg_ret"", ""mutt_copy_stream_arg_ret""]"
433,"[""mutt_make_file_attach_ret""]","[null, ""LIST"", null]"
434,"[""mutt_make_file_attach_ret""]",[]
435,"[""option_ret""]","[""mutt_write_rfc822_header_arg_ret""]"
436,"[""sscanf_ret"", ""strlen_ret"", ""sscanf_arg_ret"", ""sscanf_ret"", ""strlen_arg_ret"", ""sscanf_arg_ret""]",[]
646,"[""sscanf_ret"", ""sscanf_arg_ret""]",[]
437,"[null, ""sscanf_arg_ret"", null]","[""safe_fopen_ret"", ""sscanf_arg_ret""]"
647,[null],"[""YYPRINT_arg""]"
438,[null],"[""YYPRINT_arg"", ""yyoverflow_arg_ret""]"
439,[null],"[""YYPRINT_arg"", ""int""]"
440,[null],"[""YYPRINT_arg"", ""YYPRINT_arg"", ""sizeof_arg"", ""YYTRANSLATE_ret""]"
441,[null],"[null, ""int"", ""sizeof_arg"", ""YYTRANSLATE_ret""]"
442,[null],"[null, ""yyn_arg"", null, ""yyn_arg""]"
443,[null],"[null, ""sizeof_arg"", null, ""int""]"
444,[null],"[null, ""sizeof_arg"", null, ""yyn_arg""]"
648,[null],"[null, ""short""]"
445,[null],"[null, ""int"", null, ""YYTRANSLATE_ret""]"
446,"[""getopt_ret""]","[null, ""strrchr_ret""]"
447,"[""fopen_ret"", ""fopen_ret"", null]","[""strerror_ret"", null, ""strrchr_ret"", null, null]"
448,[null],"[null, ""strrchr_ret""]"
449,"[""strchr_ret"", ""strchr_ret"", null]","[null, null, ""int"", null]"
450,[null],"[null, null, ""int"", ""strcmp_arg""]"
451,[null],"[""flush_doc_arg_ret""]"
452,[null],"[null, null, ""skip_ws_arg""]"
649,[null],"[null, null, ""skip_ws_arg_ret""]"
453,[null],"[null, null, ""strchr_arg_ret""]"
454,[null],"[null, null, ""short"", ""char""]"
455,[null],"[null, null, ""isspace_arg_ret""]"
650,"[""strncmp_ret""]","[null, ""strncmp_arg_ret""]"
651,"[""conf_char_to_escape_arg_ret""]","[""conf_char_to_escape_arg_ret""]"
652,"[""fputc_arg""]","[""fputc_arg""]"
456,"[""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null]","[""conf_print_strval_arg"", ""sgml_id_fputs_arg""]"
715,"[""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null]","[""conf_print_strval_arg_ret""]"
457,"[""type2human_arg"", null]","[""conf_print_strval_arg_ret"", ""sgml_id_fputs_arg"", ""conf_print_strval_arg_ret""]"
458,"[null, null]","[""conf_print_strval_arg_ret"", ""sgml_id_fputs_arg""]"
459,"[null, null]","[""type2human_ret"", ""conf_print_strval_arg_ret""]"
460,"[""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null]","[""conf_print_strval_arg_ret"", ""conf_print_strval_arg_ret""]"
461,"[null, null]","[""conf_print_strval_arg_ret""]"
462,"[null, null, null]","[""conf_print_strval_arg_ret"", ""sgml_id_fputs_arg""]"
463,"[null, null, null]","[""conf_print_strval_arg_ret""]"
464,"[null, null, null]","[""type2human_ret"", ""conf_print_strval_arg_ret""]"
653,"[""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null, ""type2human_arg"", null]","[""man_print_strval_arg_ret""]"
465,"[null, null, null]","[""man_print_strval_arg_ret""]"
466,"[null, null, null, null]","[""man_print_strval_arg_ret""]"
467,"[null, null, null, null]","[""sgml_id_fputs_arg_ret""]"
468,"[null, null, null, null]","[""type2human_ret"", ""sgml_fputs_arg_ret""]"
469,"[""man_print_strval_arg_ret"", ""man_print_strval_arg_ret""]","[""sgml_fputs_arg_ret""]"
654,"[""man_print_strval_arg_ret"", ""man_print_strval_arg_ret""]","[""sgml_print_strval_arg_ret""]"
470,"[""int"", null, ""int"", null, ""int"", null, ""int"", null]","[""sgml_print_strval_arg_ret""]"
471,"[""int"", null, ""int"", null, ""int"", null, ""int"", null]","[""sgml_print_strval_arg_ret"", ""sgml_print_strval_arg_ret""]"
655,"[""int""]","[""putc_arg""]"
656,"[""int"", null]","[""putc_arg""]"
472,"[""int"", null, null]","[""putc_arg""]"
473,"[""static""]","[""putc_arg""]"
474,"[""int"", null, null, null, null, null, null, null, null, null, null, null]","[""strlen_arg"", ""putc_arg""]"
475,"[""int"", null]","[""putc_arg_ret""]"
476,"[""int"", null, null]","[""putc_arg_ret""]"
477,"[""int"", null, null, null]","[""putc_arg_ret""]"
478,"[""int"", null, null, null, null]","[""putc_arg_ret""]"
657,"[""int"", null, null, null, null, null, null]","[""fputc_arg_ret""]"
658,"[""int"", null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
659,"[""int"", null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
660,"[""int"", null, null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
661,"[""int"", null, null, null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
730,"[""int"", null]","[""fputc_arg_ret""]"
479,"[""int"", null, null, null, null, null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
480,"[""int"", null, null, null, null, null, null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
662,"[""int"", null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
663,"[""strlen_arg_ret""]","[""fputc_arg_ret""]"
664,"[""strncmp_ret""]","[""fputc_arg_ret""]"
481,"[""int"", null, null]","[""fputc_arg_ret""]"
482,"[""int"", null, null, null]","[""fputc_arg_ret""]"
483,"[""int"", null, null, null, null]","[""fputc_arg_ret""]"
484,"[""int"", null, null, null, null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
485,"[""int"", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
486,"[""int"", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
487,"[""int"", null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[""fputc_arg_ret""]"
665,"[""strncmp_ret""]","[""sgml_fputs_arg_ret""]"
488,"[null, null, null]","[""sgml_id_fputs_arg"", ""putc_arg_ret""]"
489,"[null, null]","[""putc_arg_ret""]"
490,"[null, null]","[""sgml_id_fputs_arg_ret""]"
491,"[null, null]","[""sgml_fputs_arg_ret""]"
492,"[""int""]","[""ftello_arg_ret""]"
493,"[""HEADER_DATA_ret"", ""atoi_ret"", ""atoi_ret""]",[]
494,"[""ascii_strncasecmp_ret"", ""ascii_strncasecmp_ret""]",[]
668,"[""imap_exec_msgset_ret""]",[]
495,"[""HEADER_DATA_arg""]",[]
716,"[""imap_exec_ret""]",[]
669,"[""option_ret""]",[null]
496,"[""imap_close_connection_arg"", null, null, ""imap_close_connection_arg"", null, null]",[]
497,"[""mutt_socket_head_ret"", null, null, null, ""mutt_socket_head_ret"", null]",[]
670,"[""imap_parse_path_ret""]",[]
498,"[""imap_exec_msgset_ret"", ""imap_exec_msgset_ret""]",[]
499,"[""imap_hcache_put_arg_ret"", null, ""imap_hcache_put_arg_ret"", null, null, ""imap_hcache_put_arg_ret"", null, null, ""imap_hcache_put_arg_ret"", null]",[]
500,"[""strchr_ret"", ""strchr_ret""]",[]
501,"[""mx_is_imap_ret"", ""imap_parse_path_ret"", ""imap_parse_path_arg_ret"", ""sizeof_arg""]",[]
671,"[""mutt_strlen_ret""]",[]
672,"[""imap_rename_mailbox_ret""]",[]
502,"["" authenticator authenticate_ret"", null]",[]
