class,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,loc,log,check,variable,cluster
2106,499,"error(_(""Could not read object %s""), sha1_to_hex(sha1));","error(_(""Could not read object %s""), oid_to_hex(oid));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_242.cpp,8,"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]","[[u'sha1_to_hex', u'sha1'], [u'oid_to_hex', u'oid']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/fast-export.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5319.cpp,25,"die (""Could not read blob %s"", sha1_to_hex(sha1))","[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]",3094
2106,499,"error(_(""Could not read object %s""), sha1_to_hex(sha1));","error(_(""Could not read object %s""), oid_to_hex(oid));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_242.cpp,8,"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]","[[u'sha1_to_hex', u'sha1'], [u'oid_to_hex', u'oid']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/fast-export.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5336.cpp,27,"die (""Could not read tag %s"", sha1_to_hex(tag->object.sha1))","[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]",3094
2106,499,"error(_(""Could not read object %s""), sha1_to_hex(sha1));","error(_(""Could not read object %s""), oid_to_hex(oid));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_242.cpp,8,"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]","[[u'sha1_to_hex', u'sha1'], [u'oid_to_hex', u'oid']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/pack-objects.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5584.cpp,8,"die(""unable to read %s"", sha1_to_hex(entry->idx.sha1))","[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]",3094
2106,499,"error(_(""Could not read object %s""), sha1_to_hex(sha1));","error(_(""Could not read object %s""), oid_to_hex(oid));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_242.cpp,8,"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]","[[u'sha1_to_hex', u'sha1'], [u'oid_to_hex', u'oid']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/pack-objects.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5584.cpp,11,"die(""unable to read %s"", sha1_to_hex(entry->delta->idx.sha1))","[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]",3094
2106,499,"error(_(""Could not read object %s""), sha1_to_hex(sha1));","error(_(""Could not read object %s""), oid_to_hex(oid));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_242.cpp,8,"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]","[[u'sha1_to_hex', u'sha1'], [u'oid_to_hex', u'oid']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/pack-objects.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5589.cpp,18,"die(_(""unable to read %s""), sha1_to_hex(entry->idx.sha1))","[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]",3094
2106,499,"error(_(""Could not read object %s""), sha1_to_hex(sha1));","error(_(""Could not read object %s""), oid_to_hex(oid));",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_242.cpp,8,"[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]","[[u'sha1_to_hex', u'sha1'], [u'oid_to_hex', u'oid']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/contrib/convert-objects/convert-objects.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_6366.cpp,11,"die(""unable to read object %s"", sha1_to_hex(sha1))","[""read_sha1_file_ret""]","[""sha1_to_hex_ret""]",3094
1984,306,"die(_(""Failed to resolve '%s' as a valid ref.""), split[1]->buf);","die(_(""failed to resolve '%s' as a valid ref.""), split[1]->buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_263.cpp,30,"[""get_sha1_ret""]","[""strbuf_split_ret"", ""strbuf_split_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/notes.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5695.cpp,28,"die(_(""Failed to resolve '%s' as a valid ref.""), split[0]->buf)","[""get_sha1_ret""]","[""strbuf_split_ret"", ""strbuf_split_arg_ret""]",2959
1984,306,"die(_(""Failed to resolve '%s' as a valid ref.""), split[1]->buf);","die(_(""failed to resolve '%s' as a valid ref.""), split[1]->buf);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_263.cpp,30,"[""get_sha1_ret""]","[""strbuf_split_ret"", ""strbuf_split_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/notes.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_5695.cpp,30,"die(_(""Failed to resolve '%s' as a valid ref.""), split[1]->buf)","[""get_sha1_ret""]","[""strbuf_split_ret"", ""strbuf_split_arg_ret""]",2959
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/config.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_523.cpp,7,"error(""unable to resolve config blob '%s'"", name)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/parse-options-cb.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_664.cpp,8,"error(""malformed object name %s"", arg)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/branch.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_1428.cpp,35,"die(_(""Not a valid object name: '%s'.""), start_name)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/sequencer.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_2399.cpp,39,"die(_(""%s: bad revision""), name)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/remote.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_3734.cpp,23,"error(""cannot parse expected object name '%s'"", colon + 1)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/notes.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_3966.cpp,8,"warning(""notes ref %s is invalid"", glob)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/tag.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4172.cpp,138,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/verify-commit.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4230.cpp,9,"error(""commit '%s' not found."", name)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/describe.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4242.cpp,12,"die(_(""Not a valid object name %s""), arg)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
2099,424,"die(_(""Failed to resolve '%s' as a valid ref.""), object_ref);","die(_(""failed to resolve '%s' as a valid ref.""), object_ref);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_function_268.cpp,38,"[""get_sha1_ret""]","[""get_sha1_arg_ret""]","[[u'Failed'], [u'failed']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/repos/git-2.6.7/builtin/merge-base.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/git/gumtree/git_repos_function_4482.cpp,6,"die(""Not a valid object name %s"", arg)","[""get_sha1_ret""]","[""get_sha1_arg_ret""]",3100
