class,class_size,check,variable
54,1,"[""curl_mime_addpart_arg_ret"", ""curl_mime_init_ret""]","[""get_param_part_arg_ret"", null]"
82,2,"[""file_or_stdin_ret""]","[""get_param_part_arg_ret"", null, ""file_or_stdin_arg_ret""]"
55,1,"[""curl_mime_filename_ret"", ""curl_mime_filename_arg_ret""]","[""get_param_part_arg_ret"", null]"
83,2,"[""curl_mime_encoder_ret""]","[""get_param_part_arg_ret"", null]"
56,1,"[""convert_to_network_ret"", ""strlen_ret""]","[""get_param_part_arg_ret"", null]"
57,1,"[""curl_mime_data_ret""]","[""get_param_part_arg_ret"", null]"
58,1,"[""curl_mime_filename_ret""]","[""get_param_part_arg_ret"", null]"
59,1,"[""get_param_part_ret""]","[""get_param_part_arg_ret"", null, ""get_param_part_arg_ret""]"
60,1,"[""curl_mime_name_ret"", ""curl_mime_name_arg_ret""]","[""get_param_part_arg_ret"", null]"
61,1,"[""strchr_ret""]","[""get_param_part_arg_ret"", null]"
62,1,"[""strchr_ret""]","[""fputc_arg_ret""]"
63,1,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fputc_arg_ret""]"
85,3,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]"
64,1,"[""curl_strequal_ret""]","["" struct OperationConfig"", null]"
65,1,"[""ttyecho_ret""]",[null]
66,1,"[""aprintf_arg_ret"", ""char""]","[""Curl_infof_arg"", ""aprintf_arg_ret"", ""aprintf_arg_ret""]"
67,1,"[""Curl_base64_decode_ret""]","[""curl_easy_strerror_ret"", ""Curl_infof_arg_ret""]"
86,2,"[""long""]","[""OUTCHAR_arg"", ""strlen_ret"", ""long""]"
68,1,"[""fopen_arg""]","[""strdup_ret"", null, null]"
69,1,"[""infof_arg_ret"", null, null, null]","[""unsigned long_ret""]"
70,1,"[""infof_arg_ret"", null, null, null]","[""infof_arg""]"
71,1,"[null, ""strlen_arg"", ""strlen_arg""]","[""strncpy_arg_ret"", null]"
