sha,message,issue,file_name,old_file,new_file,patch_file
8ba2a4040484d0aa1be26ad8fde3d7109a7c2fb1,"Fixes for borland, compiles with lots of warnings, but compiles, might fix vs70 again too.",[],Utilities/cmlibarchive/libarchive/archive_write_set_format_pax.c,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_490.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_490.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_490.cpp
ebd0c2d3771835a1317c1fd70eafd3ebf2135b01,Merge in changes for RC 3,[],Source/cmakewizard.cxx,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_491.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_491.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_491.cpp
ccb0cf130673b55035106067997e9d135d4d27fa,Fix warnings in CMake source code.,[],Source/cmakewizard.cxx,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_492.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_492.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_492.cpp
44bcba746156ad1d5fe7f784380c3fb4f4672f6b,Fix warnings in CMake source code. Suppress rampant warnings emanating from Qt files.,[],Source/cmakewizard.cxx,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_493.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_493.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_493.cpp
39383ef8cb691656012275721064baef1e4f7511,"Major optimization of C/C++ dependency scanning.

Now only the dependencies for the file where the dependencies actually may
have changed are rescanned, before that this was done for all source files
even if only one source file had changed.
This reduces e.g. on my machine the time for scanning the dependencies
of kdelibs/khtml/ when only one file (khtml_global.cpp) has changed from
around 7.5 seconds to 1.2 seconds.

The tests succeed, it does what I expected it to do on kdelibs, and Brad
also reviewed the patch, so I think it should be ok.

Alex",[],Source/cmLocalUnixMakefileGenerator3.cxx,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_494.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_494.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_494.cpp
8a690289c205da90133e704439dc6f7ef1a08680,"Add label summary times to ctest default output.  Also, remove parallel time output.  Add flag to disable label summary.",[],Source/CTest/cmCTestTestHandler.cxx,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_495.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_495.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_495.cpp
4b4e801eba8efe6da7407ec3364b3fd04eb59e81,BUG: Fixed segfault and bad reporting if a ctest executable could not be found.  Also added some batch testing code that is not yet complete.,[],Source/CTest/cmCTestRunTest.cxx,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_496.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_496.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_496.cpp
177edc5ed1bed7306a122129dfcaf13d898f83ef,Fixed ctest -N segfault issue.  Further refactored ctest.  Enabled failover for ctest,[],Source/CTest/cmCTestRunTest.cxx,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_497.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_497.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_497.cpp
177edc5ed1bed7306a122129dfcaf13d898f83ef,Fixed ctest -N segfault issue.  Further refactored ctest.  Enabled failover for ctest,[],Source/CTest/cmCTestTestHandler.cxx,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_498.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_498.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_498.cpp
8ffd8d0a03d68241ce4f5f8a9fd266bee1032e1d,"ENH: refactored ctest.  All testing is now parallel.  If no -j option is specified, defaults to a MP level of 1 (non parallel)",[],Source/CTest/cmCTestRunTest.cxx,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_old_file_499.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_new_file_499.cpp,second/download/CMake/CMake-old-new/CMake-old-new/Kitware_CMake_patch_499.cpp
