class,class_size,check,variable
2532,2,"[""apr_int16_t"", null, null]","[""APLOGNO_ret"", null, null, ""ap_proxy_transfer_between_connections_arg_ret"", ""apr_int16_t""]"
1247,1,"[""apr_pollfd_t"", null, null, ""apr_socket_t""]","[""APLOGNO_ret"", null, null, ""ap_proxy_transfer_between_connections_arg_ret""]"
1248,1,"[""apr_pollfd_t"", null, null, ""apr_socket_t""]","[null, null, ""ap_proxy_transfer_between_connections_arg_ret""]"
1249,1,"[""ap_cstr_casecmp_ret"", ""ap_cstr_casecmp_arg_ret""]","[""APLOGNO_ret"", null, null, ""ap_proxy_determine_connection_arg"", ""strncasecmp_arg_ret"", ""ap_cstr_casecmp_arg_ret"", ""ap_cstr_casecmp_arg_ret"", ""ap_cstr_casecmp_arg_ret""]"
1250,1,"[""ap_cstr_casecmp_ret"", ""ap_cstr_casecmp_arg_ret""]","[""APLOGNO_ret"", null, null, ""ap_proxy_determine_connection_arg"", ""strncasecmp_arg_ret""]"
1251,1,"[""ap_proxy_connect_backend_ret""]","[""APLOGNO_ret"", null, null, ""ap_proxy_determine_connection_arg_ret"", ""ap_proxy_connect_backend_arg_ret"", null]"
1252,1,"[""get_socket_from_path_ret"", null]","[""APLOGNO_ret"", null, null, ""get_socket_from_path_ret"", "" flush flusher_arg"", ""get_socket_from_path_arg_ret""]"
1253,1,"[""ap_lookup_provider_ret""]","[""APLOGNO_ret"", null, null, ""get_socket_from_path_ret"", "" flush flusher_arg"", ""ap_lookup_provider_arg_ret""]"
1254,1,"[""send_socket_ret"", null]","[""APLOGNO_ret"", null, null, ""send_socket_ret"", "" flush flusher_arg_ret""]"
1255,1,"[""apr_socket_create_ret"", null]","[""APLOGNO_ret"", null, null, ""apr_socket_create_ret"", "" flush flusher_arg_ret""]"
1256,1,"[""ap_pass_brigade_ret"", null]","[""APLOGNO_ret"", null, null, ""ap_pass_brigade_ret"", ""request_rec""]"
1257,1,"[""ap_proxy_canon_netloc_ret""]","[""APLOGNO_ret"", null, null, ""request_rec"", ""request_rec"", null]"
1258,1,"[""strcasecmp_ret""]","[""APLOGNO_ret"", null, null, ""request_rec"", ""request_rec"", null]"
1259,1,"[""ap_expr_str_exec_re_arg_ret""]","[""APLOGNO_ret"", null, null, ""ap_expr_str_exec_re_arg_ret"", ""sei_entry"", null, ""ap_expr_str_exec_re_arg_ret""]"
1260,1,"[""APLOGrtrace4_ret""]","[null, null, ""APLOGrtrace4_arg_ret"", ""sei_entry"", null, ""apr_table_get_ret"", ""ap_expr_str_exec_re_ret""]"
1261,1,"[""sei_entry"", null]","[null, null, ""APLOGrtrace4_arg_ret"", ""ap_expr_exec_re_ret""]"
1262,1,"[""APLOGrtrace8_ret""]","[""APLOGNO_ret"", null, null, ""APLOGrtrace8_arg_ret"", ""apr_table_entry_t"", ""int"", null, ""apr_table_entry_t"", ""int"", null]"
1263,1,"[""ap_fcgi_encoded_env_len_arg_ret"", ""apr_table_elts_ret"", null]","[""APLOGNO_ret"", null, null, ""APLOGrtrace8_arg_ret"", null, ""apr_table_entry_t"", ""ap_fcgi_encoded_env_len_arg_ret"", null, ""apr_size_t""]"
1264,1,"[""get_data_full_ret"", null]","[""APLOGNO_ret"", ""ap_log_rdata_arg"", null, ""ap_log_rdata_arg""]"
1265,1,"[""ap_fcgi_header_fields_from_array_arg_ret"", null]","[""APLOGNO_ret"", null, null, ""ap_log_rdata_arg_ret"", null, ""ap_fcgi_header_fields_from_array_arg_ret""]"
1266,1,"[""ap_fcgi_header_fields_from_array_arg_ret"", ""apr_uint16_t""]","[""APLOGNO_ret"", null, null, ""ap_log_rdata_arg_ret"", ""ap_fcgi_header_fields_from_array_arg_ret"", ""apr_uint16_t""]"
1267,1,"[""ap_pass_brigade_ret"", null]","[""APLOGNO_ret"", null, null, ""ap_scan_script_header_err_brigade_ex_arg_ret""]"
1268,1,"[""ap_fcgi_header_fields_from_array_arg_ret""]","[""APLOGNO_ret"", null, null, ""ap_is_initial_req_arg_ret"", null, ""get_data_arg_ret"", ""handle_headers_arg_ret""]"
1269,1,"[""ap_fcgi_header_fields_from_array_arg_ret""]","[""APLOGNO_ret"", null, null, ""ap_is_initial_req_arg_ret"", ""ap_fcgi_header_fields_from_array_arg_ret""]"
1270,1,"[""get_data_full_ret"", null]","[""APLOGNO_ret"", null, null, ""get_data_full_ret"", ""ap_is_initial_req_arg_ret""]"
1271,1,"[""send_begin_request_ret"", null]","[""APLOGNO_ret"", null, null, ""send_begin_request_ret"", ""send_environment_arg"", ""char""]"
1272,1,"[""send_environment_ret"", null]","[""APLOGNO_ret"", null, null, ""send_environment_ret"", ""send_environment_arg_ret"", ""char""]"
1273,1,"[""dispatch_arg_ret"", null, null]","[null, null, ""dispatch_ret"", ""dispatch_arg_ret""]"
1274,1,"[""dispatch_ret"", null]","[""APLOGNO_ret"", null, null, ""dispatch_ret"", ""dispatch_arg_ret"", ""char"", ""dispatch_arg_ret"", ""dispatch_arg_ret"", ""dispatch_arg_ret"", ""dispatch_arg_ret""]"
2533,2,"[""ap_cstr_casecmpn_ret""]","[""APLOGNO_ret"", null, null, ""ap_proxy_determine_connection_arg"", ""ap_cstr_casecmpn_arg_ret""]"
2535,2,"[""ajp_msg_dump_ret"", null]","[null, ""int"", ""APLOGrtrace8_arg_ret"", ""ap_strchr_arg_ret""]"
1275,1,"[""apr_byte_t"", ""apr_byte_t"", ""apr_byte_t"", ""apr_byte_t""]","[""APLOGNO_ret"", null, null, null, ""apr_byte_t"", ""apr_byte_t""]"
1276,1,"[""apr_size_t"", ""ajp_msg_t"", null]","[""APLOGNO_ret"", null, null, null, null, null, ""apr_size_t"", ""ajp_msg_t"", null]"
1277,1,"[""ajp_msg_t"", null, ""ajp_msg_t"", null]","[""APLOGNO_ret"", null, null, null, null, null, ""ajp_msg_t"", null, ""ajp_msg_t"", null]"
1278,1,"[""apr_socket_send_ret"", ""apr_socket_send_ret"", null]","[""APLOGNO_ret"", null, null, ""apr_socket_send_ret"", ""request_rec"", ""proxy_conn_rec"", null, ""proxy_conn_rec"", null]"
1279,1,"[""ap_get_client_block_ret""]","[""APLOGNO_ret"", null, null, ""ap_get_client_block_arg_ret""]"
1280,1,"[""ap_scan_script_header_err_brigade_ex_ret"", null]","[""APLOGNO_ret"", null, null, ""ap_scan_script_header_err_brigade_ex_arg_ret"", ""proxy_conn_rec"", null, ""proxy_conn_rec"", null]"
1281,1,"[""apr_table_get_ret""]","[""APLOGNO_ret"", null, null, ""ap_scan_script_header_err_brigade_ex_arg_ret"", ""ap_get_module_config_ret"", null, ""apr_table_get_ret""]"
1282,1,"[""ap_get_module_config_ret"", null, null]","[""APLOGNO_ret"", null, null, ""ap_internal_redirect_handler_arg"", ""ap_get_module_config_ret"", null]"
1283,1,"[""ap_get_module_config_ret"", null, null, null]","[""APLOGNO_ret"", null, null, ""ap_internal_redirect_handler_arg_ret"", ""ap_get_module_config_ret"", null]"
1284,1,"[""ap_sub_req_lookup_file_ret"", ""int"", null, ""ap_sub_req_lookup_file_ret"", null, null, null]","[""APLOGNO_ret"", null, null, ""ap_sub_req_lookup_file_arg_ret"", ""ap_get_module_config_ret"", null, ""ap_run_sub_req_arg_ret"", ""int"", ""ap_run_sub_req_arg_ret"", null, null]"
1285,1,"[""ap_proxy_connect_backend_ret""]","[""APLOGNO_ret"", null, null, ""ap_proxy_determine_connection_arg_ret"", ""ap_proxy_connect_backend_arg_ret"", null, ""ap_proxy_connect_backend_arg_ret"", null]"
