class,class_size,check,variable
52,1,"[""mutt_atoi_ret"", ""mutt_atoi_arg_ret"", ""mutt_atoi_arg_ret"", ""mutt_make_string_arg"", null]","[""mutt_atoi_arg_ret""]"
53,1,"[""mutt_env_to_intl_ret""]","[""mutt_env_to_intl_arg_ret"", ""mutt_env_to_intl_arg_ret""]"
54,1,"[""mutt_strlen_arg""]","[""mutt_strcmp_arg""]"
55,1,"[""show_one_sig_status_arg"", null, null]","[null, ""show_one_sig_status_arg""]"
56,1,"[""show_one_sig_status_arg"", null, null]","[""show_one_sig_status_arg""]"
57,1,"[""show_one_sig_status_arg_ret"", null, null]","[""show_one_sig_status_arg_ret""]"
58,1,"[""int""]","[""gpgme_pubkey_algo_name_ret"", ""safe_fopen_ret"", ""int"", ""gpgme_subkey_t"", null, ""char"", null, ""gpgme_user_id_t"", ""gpgme_user_id_t""]"
59,1,"[""int""]","[""gpgme_pubkey_algo_name_ret"", ""safe_fopen_ret"", ""int"", ""gpgme_subkey_t"", null, ""char"", null]"
60,1,"[""state_puts_arg_ret"", null, null, ""unsigned int""]","[""state_puts_arg_ret""]"
61,1,"[""state_puts_arg_ret"", null, null, ""unsigned int""]","[""show_one_sig_status_arg_ret""]"
275,2,"[""decrypt_part_arg"", null, null]","[""decrypt_part_arg""]"
276,2,"[""decrypt_part_arg_ret"", null, null]","[""decrypt_part_arg_ret"", ""decrypt_part_arg_ret""]"
277,2,"[""mutt_body_handler_arg_ret"", null, null]","[""decrypt_part_arg_ret"", ""state_puts_arg_ret""]"
62,1,"[""int""]","[""print_utf8_arg""]"
63,1,"[""int""]","[""print_dn_part_arg""]"
64,1,"[""print_dn_part_ret""]","[""print_dn_part_arg_ret""]"
278,2,"[""int""]","[""print_dn_part_arg_ret""]"
65,1,"[""print_utf8_arg_ret""]","[""print_utf8_arg_ret""]"
66,1,"[""digit_or_letter_ret""]","[""print_utf8_arg_ret""]"
67,1,"[""parse_dn_ret""]","[""print_utf8_arg_ret""]"
279,2,"[""int""]","[""putc_arg"", null, null]"
68,1,"[""gpgme_user_id_t"", null]","[""putc_arg""]"
280,2,"[""key_check_cap_arg"", null, ""key_check_cap_arg"", null, null]","[""putc_arg_ret"", null, null, ""strftime_arg""]"
281,2,"[""key_check_cap_arg"", null, ""key_check_cap_arg"", null, null]","[""putc_arg_ret"", null, null]"
69,1,"[""key_check_cap_arg"", null, ""key_check_cap_arg"", null, null]","[""putc_arg_ret"", ""char"", ""unsigned long"", ""gpgme_pubkey_algo_name_ret""]"
282,3,"[""key_check_cap_ret""]","[""putc_arg_ret"", ""char""]"
70,1,"[""gpgme_key_t"", null]","[""putc_arg_ret"", null, null]"
71,1,"[""gpgme_key_t"", null]","[""putc_arg_ret"", ""putc_arg_ret""]"
72,1,"[""putc_arg_ret""]","[""putc_arg_ret"", null, null, ""putc_arg_ret""]"
73,1,"[""putc_arg_ret""]","[""putc_arg_ret"", null, null]"
74,1,"[""int""]","[""putc_arg_ret"", null, null, ""strlen_arg_ret""]"
333,4,"[""gpgme_subkey_t"", null]","[""putc_arg_ret""]"
75,1,"[""gpgme_subkey_t"", null]","[""putc_arg_ret"", null, null, ""strftime_arg""]"
76,1,"[""gpgme_subkey_t"", null]","[""putc_arg_ret"", null, null, null]"
283,2,"[""int""]","[""putc_arg_ret"", null, null]"
77,1,"[""int""]","[""putc_arg_ret"", ""unsigned long"", ""gpgme_pubkey_algo_name_ret""]"
284,3,"[""gpgme_subkey_t"", null]","[""putc_arg_ret"", ""char""]"
78,1,"[""gpgme_new_ret""]","[""gpgme_strerror_ret"", ""print_key_info_arg_ret""]"
79,1,"[""gpgme_op_keylist_next_ret""]","[""gpgme_strerror_ret"", ""putc_arg_ret""]"
80,1,"[""int""]","[""putc_arg_ret""]"
81,1,"[""option_ret"", ""crypt_id_is_valid_ret"", ""crypt_id_is_strong_ret""]",[null]
82,1,"[""option_ret"", ""crypt_getkeybyaddr_arg""]","[""sizeof_arg"", null]"
334,4,"[null, null, ""HEADER"", null, null, ""HEADER"", null, null]","[null, null]"
83,1,"[null, null, ""HEADER"", null, null, ""HEADER"", null, null, ""NONULL_arg"", ""NONULL_arg""]","[null, null]"
84,1,"[null, null, ""HEADER"", null, null, ""HEADER"", null, null, ""NONULL_arg"", ""NONULL_arg""]","[""NONULL_ret""]"
85,1,"[""ATTACH_CONTEXT"", null, ""snprintf_arg"", ""mutt_update_encoding_arg"", null, ""stat_arg_ret"", null]","[null, null]"
86,1,"[""mutt_write_fcc_arg_ret"", null, null, null]",[null]
87,1,"[""mutt_message_hook_arg_ret"", null, null, null]",[null]
88,1,"[""init_menu_arg_ret"", null, ""init_menu_arg_ret"", null, null]","[null, null]"
89,1,"[""mutt_write_one_header_arg"", null, null, null, null, null, null]","[""strchr_arg"", ""mutt_write_one_header_arg""]"
90,1,"[""mutt_write_one_header_arg"", null, null]","[""safe_calloc_ret"", ""int"", ""mutt_write_one_header_arg_ret""]"
285,3,"[""int"", null]","[""mutt_copy_hdr_arg_ret""]"
91,1,"[""int"", null]","[null, ""mutt_copy_hdr_arg_ret""]"
286,2,"[""int"", null, ""HEADER"", null, null]","[""fputc_arg_ret""]"
92,1,"[""int"", null, ""HEADER"", null, null]","[""LIST"", null, ""fputc_arg_ret""]"
287,2,"[""HEADER"", null, ""HEADER"", null]","[""fputc_arg_ret""]"
93,1,"[""HEADER"", null]","[""fputc_arg_ret""]"
94,1,"[""int"", null, ""int"", null]","[""fputc_arg_ret"", null, ""HEADER"", null, null]"
95,1,"[""HEADER"", null, ""HEADER"", null, null]","[""fputc_arg_ret"", ""HEADER"", null]"
96,1,"[""HEADER"", null, null, null]","[""fputc_arg_ret"", ""HEADER"", null, null]"
97,1,"[""int"", null]","[""mutt_copy_hdr_arg_ret"", ""fputc_arg_ret""]"
98,1,"[""_mutt_make_string_arg_ret"", null, ""mutt_copy_header_arg"", null]","[""mutt_copy_header_arg_ret"", null, ""count_delete_lines_arg_ret""]"
99,1,"[""count_delete_lines_ret""]","[""mutt_copy_header_arg_ret"", ""count_delete_lines_ret""]"
100,1,"[null, null, ""int"", null, ""mutt_copy_header_arg_ret"", null, null, ""mutt_copy_header_arg_ret"", null, null, null]","[""ftello_arg_ret""]"
101,1,"[""int"", null]","[null, ""mutt_copy_bytes_arg_ret""]"
102,1,"[""fgetc_ret""]","[null, ""fputc_arg_ret""]"
103,1,"[""copy_delete_attach_arg"", null]","[""mutt_copy_bytes_arg_ret"", null, ""copy_delete_attach_arg"", ""copy_delete_attach_arg"", null]"
288,3,"[""wchar_t""]","[null, ""wchar_t""]"
104,1,"[""mutt_system_ret"", ""mutt_system_ret""]","[null, ""mutt_system_ret""]"
105,1,"[""tls_check_preauth_arg_ret"", null]","[""fopen_ret"", ""tls_check_preauth_arg_ret"", null]"
106,1,"[""state_mark_attach_arg"", null, null]","[""state_mark_attach_arg_ret"", ""dprint_arg""]"
107,1,"[""state_mark_attach_arg"", null, null]","[""TYPE_ret"", ""ENCODING_ret"", ""state_mark_attach_arg_ret"", ""TYPE_arg_ret"", null, null]"
108,1,"[""state_mark_attach_arg"", null, null]","[""state_mark_attach_arg_ret"", ""mutt_message_arg""]"
109,1,"[""state_mark_attach_arg_ret"", null, null]","[""state_mark_attach_arg_ret"", null]"
289,2,"[""state_puts_arg_ret"", null, null]","[""state_mark_attach_arg_ret"", null]"
110,1,"[""state_puts_arg_ret"", null, null, null]","[""TYPE_ret"", ""state_mark_attach_arg_ret"", ""BODY"", null, null]"
111,1,"[""mutt_get_parameter_ret""]","[""state_mark_attach_arg_ret"", null]"
112,1,"[""mutt_parse_date_ret""]","[""state_mark_attach_arg_ret"", ""mutt_parse_date_arg_ret""]"
113,1,"[""BODY"", null, null]","[""state_mark_attach_arg_ret"", ""BODY"", null, null]"
290,2,"[""state_mark_attach_arg_ret"", null, null]","[""TYPE_ret"", ""state_mark_attach_arg_ret"", ""BODY"", null, null]"
114,1,"[""state_mark_attach_arg_ret"", null, null]","[""state_mark_attach_arg_ret""]"
115,1,"[""state_mark_attach_arg_ret"", null, null]","[""state_mark_attach_arg_ret"", ""ascii_strcasecmp_arg_ret""]"
116,1,"[""option_ret"", ""run_decode_and_handler_arg_ret"", null, null]","[""state_mark_attach_arg_ret"", null]"
117,1,"[""option_ret"", ""run_decode_and_handler_arg_ret"", null, null]","[""TYPE_ret"", ""state_mark_attach_arg_ret"", ""TYPE_arg_ret"", null]"
118,1,"[""km_expand_key_ret"", ""km_find_func_ret""]","[""state_mark_attach_arg_ret"", null, null]"
119,1,"[""km_expand_key_ret"", ""km_find_func_ret""]","[""state_mark_attach_arg_ret"", null]"
