class,class_size,check,variable
1566,1,"[""char""]","[null, ""branch_get_ret"", null]"
1567,1,"[""argv_array_pushv_arg_ret""]",[]
1568,1,"[""strcmp_ret"", ""strcmp_arg""]",[]
1569,1,"[""config_get_rebase_ret"", null]",[]
1570,1,"[""is_null_oid_ret"", ""is_cache_unborn_ret""]",[]
1571,1,"[""is_null_oid_ret"", ""is_null_oid_ret"", ""oidcmp_ret""]","[""oid_to_hex_ret""]"
1572,1,"[""checkout_fast_forward_ret""]","[""oid_to_hex_ret""]"
1573,1,"[""get_merge_heads_arg_ret"", null]",[]
1574,1,"[""config_get_rebase_ret"", ""get_merge_heads_arg_ret"", null]",[]
1575,1,"[""submodule_touches_in_range_ret"", null, null, null, null]",[]
1576,1,"[""split_ident_line_ret"", ""strlen_ret""]","[""strlen_arg_ret""]"
2955,2,"[""map_user_arg_ret""]","[null, ""map_user_arg_ret"", ""map_user_arg_ret""]"
1577,1,"[""parse_options_ret"", null]",[]
1578,1,"[""parse_options_ret"", null]",[null]
3233,12,"[""OPT_BOOL_arg_ret""]",[]
1579,1,"[""write_cache_as_tree_ret""]","[""sha1_to_hex_ret""]"
2956,2,"[""write_cache_as_tree_ret"", null]","[""char""]"
1580,1,"[""write_cache_as_tree_ret"", null]","[""char"", ""write_cache_as_tree_arg_ret""]"
1581,1,"[""read_sha1_file_ret""]","[""get_oid_arg_ret""]"
1582,1,"[""read_sha1_file_arg_ret"", null]","[""get_oid_arg_ret"", ""read_sha1_file_arg_ret""]"
1583,1,"[""parse_tag_ret"", "" struct commit_name"", null]","["" struct commit_name"", null]"
1584,1,"["" struct commit_name"", null, null]","["" struct commit_name"", null]"
1585,1,"[""strcmp_ret""]","["" struct commit_name"", null, null, "" struct commit_name"", null]"
1586,1,"["" struct commit_name"", null]","["" struct commit_name"", null, null]"
2957,2,"["" struct commit_name"", null]","["" struct commit_name"", null]"
1587,1,"[""lookup_commit_reference_ret""]","[""get_oid_arg_ret"", null]"
1588,1,"[""find_commit_name_ret"", null, null, ""find_commit_name_ret"", null]",[]
1589,1,[null],"[""oid_to_hex_ret""]"
1590,1,[null],"[null, ""get_oid_arg_ret""]"
2958,2,[null],"[""find_unique_abbrev_ret""]"
2959,2,"[""unsigned int""]","[""oid_to_hex_ret""]"
1591,1,[null],"[null, ""int"", "" struct possible_tag"", ""show_suffix_arg"", "" struct possible_tag"", ""display_name_arg"", null]"
1592,1,[null],"[null, ""unsigned long""]"
1593,1,"[""commit_list_insert_by_date_arg_ret""]","[""oid_to_hex_ret"", null, null, null]"
1594,1,"[""OPT_BOOL_arg_ret"", ""OPT__ABBREV_arg_ret""]",[]
1595,1,"[""hashmap_init_arg_ret"", null, ""OPT_BOOL_arg_ret""]",[]
1596,1,"[""fstat_ret"", ""get_lock_file_fd_ret""]","[""get_tempfile_path_ret"", ""strerror_ret"", ""fflush_arg""]"
1597,1,"[""strbuf_read_file_ret""]","[""strbuf_read_file_arg_ret"", ""strbuf_read_file_arg_ret"", null]"
2960,2,"[""run_command_v_opt_ret"", null]","[null, null, null]"
1598,1,"[""parse_expiry_date_ret""]",[null]
1599,1,"[""OPT__QUIET_arg_ret""]",[null]
1600,1,"[""lock_repo_for_gc_ret""]","[""lock_repo_for_gc_ret"", null, ""lock_repo_for_gc_arg_ret""]"
2961,3,"[""run_command_v_opt_ret""]","[null, ""argv_array_push_arg_ret"", ""parse_options_arg_ret""]"
1601,1,"[""run_command_v_opt_ret""]","[null, ""argv_array_pushl_arg_ret"", ""parse_options_arg_ret""]"
1602,1,"[""too_many_loose_objects_ret"", ""OPT_BOOL_arg_ret""]",[]
1603,1,"[""unsigned long""]",[]
1604,1,"[""get_sha1_hex_ret""]",[]
