class,old_loc,old_log,new_log,function,function_loc,check,variable,edit,file,function,calls,types
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/docs/examples/asiohiper.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_209.cpp,"[""curl_multi_info_read"", ""free"", ""fprintf"", ""curl_multi_remove_handle"", ""curl_easy_getinfo"", ""curl_easy_cleanup""]","[""CURLMsg"", ""int"", ""void"", ""ConnInfo"", ""char"", ""CURLcode"", ""CURL"", ""GlobalInfo""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/libtest/lib566.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_361.cpp,"[""fopen"", ""curl_global_init"", ""curl_easy_init"", ""test_setopt"", ""fclose"", ""curl_global_cleanup"", ""fprintf"", ""curl_easy_perform"", ""curl_easy_getinfo"", ""curl_easy_cleanup""]","[""int"", ""double"", ""char"", ""CURLcode"", ""FILE"", ""CURL""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/libtest/lib1509.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_401.cpp,"[""curl_easy_strerror"", ""curl_global_cleanup"", ""fprintf"", ""global_init"", ""printf"", ""curl_easy_perform"", ""easy_setopt"", ""curl_easy_getinfo"", ""easy_init"", ""curl_easy_cleanup""]","[""int"", ""char"", ""CURL"", ""CURLcode"", ""long""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/libtest/lib569.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_439.cpp,"[""curl_easy_getinfo"", ""curl_global_init"", ""curl_easy_init"", ""test_setopt"", ""fclose"", ""curl_global_cleanup"", ""fprintf"", ""free"", ""curl_easy_cleanup"", ""curl_easy_perform"", ""fopen"", ""suburl""]","[""int"", ""char"", ""CURL"", ""FILE""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/libtest/lib500.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_463.cpp,"[""fopen"", ""curl_global_init"", ""curl_easy_init"", ""test_setopt"", ""fclose"", ""curl_global_cleanup"", ""setupcallbacks"", ""fprintf"", ""curl_easy_perform"", ""curl_easy_getinfo"", ""strcmp"", ""curl_easy_cleanup""]","[""int"", ""double"", ""char"", ""CURLcode"", ""FILE"", ""CURL""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/libtest/lib599.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_467.cpp,"[""fopen"", ""curl_global_init"", ""curl_easy_init"", ""test_setopt"", ""fclose"", ""curl_global_cleanup"", ""fprintf"", ""curl_easy_perform"", ""curl_easy_getinfo"", ""curl_easy_cleanup""]","[""int"", ""double"", ""char"", ""CURLcode"", ""FILE"", ""CURL""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/libtest/lib573.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_506.cpp,"[""multi_add_handle"", ""curl_multi_cleanup"", ""start_test_timing"", ""multi_init"", ""double"", ""fprintf"", ""select_test"", ""curl_global_cleanup"", ""abort_on_test_timeout"", ""curl_multi_remove_handle"", ""FD_ZERO"", ""global_init"", ""curl_easy_cleanup"", ""multi_perform"", ""easy_setopt"", ""curl_easy_getinfo"", ""easy_init"", ""multi_fdset""]","["" struct timeval"", ""int"", ""double"", ""char"", ""CURLM"", ""fd_set"", ""CURL""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/libtest/lib506.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_513.cpp,"[""curl_easy_getinfo"", ""curl_global_init"", ""curl_easy_init"", ""test_setopt"", ""curl_share_init"", ""curl_slist_free_all"", ""curl_share_cleanup"", ""curl_global_cleanup"", ""fire"", ""curl_share_setopt"", ""fprintf"", ""curl_free"", ""printf"", ""curl_easy_perform"", ""suburl"", ""sethost"", ""curl_easy_cleanup""]","["" struct userdata"", "" struct Tdata"", ""int"", "" struct curl_slist"", ""char"", ""CURLcode"", ""CURLSHcode"", ""CURL"", ""CURLSH""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/tests/libtest/libntlmconnect.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_542.cpp,"[""malloc"", ""curl_easy_strerror"", ""free"", ""curlx_sztosi"", ""fprintf"", ""curl_easy_getinfo"", ""memcpy""]","[""void"", ""long"", ""char"", ""curl_socket_t"", ""CURLcode"", ""ssize_t"", ""size_t""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_operate.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_786.cpp,"[""res_setopt_str"", ""tvdiff"", ""glob_match_url"", ""defined"", ""my_setopt_httppost"", ""stdin_upload"", ""memset"", ""curlx_strequal"", ""SetComment"", ""metalink_parser_context_delete"", ""ourWriteEnv"", ""fprintf"", ""curl_free"", ""printf"", ""close"", ""curl_easy_perform_ev"", ""fopen"", ""open"", ""Curl_safefree"", ""warnf"", ""helpf"", ""sanitize_dos_name"", ""aprintf"", ""homedir"", ""tool_go_sleep"", ""checkprefix"", ""fseek"", ""strlen"", ""get_url_file_name"", ""FindWin32CACert"", ""long"", ""my_setopt_str"", ""tvnow"", ""curlx_strnequal"", ""set_binmode"", ""easysrc_perform"", ""CURL_OFF_T_C"", ""strrchr"", ""strdup"", ""my_setopt_slist"", ""count_next_metalink_resource"", ""fstat"", ""metalink_check_hash"", ""ftruncate"", ""glob_url"", ""strchr"", ""stat"", ""curlx_nonblock"", ""isatty"", ""SetHTTPrequest"", ""fileno"", ""fwrite_xattr"", ""S_ISREG"", ""is_vms_shell"", ""my_setopt_flags"", ""fputs"", ""parse_metalink"", ""fclose"", ""my_setopt_bitmask"", ""curl_easy_perform"", ""strstr"", ""ourWriteOut"", ""clean_getout"", ""my_setopt"", ""utime"", ""glob_next_url"", ""is_fatal_error"", ""create_dir_hierarchy"", ""progressbarinit"", ""add_file_name_to_url"", ""DEBUGASSERT"", ""my_setopt_enum"", ""curl_easy_getinfo"", ""strerror"", ""metalink_parser_context_new"", ""curlx_getenv"", ""glob_cleanup"", ""curl_easy_strerror"", ""fflush"", ""output_expected"", ""clean_metalink"", ""strcmp"", ""VmsSpecialSize""]","["" struct ProgressData"", "" struct timeval"", ""int"", "" struct getout"", "" struct GlobalConfig"", ""char"", ""FILE"", "" struct OutStruct"", "" struct utimbuf"", ""CURL"", ""unsigned"", ""long"", ""bool"", ""curl_off_t"", "" struct OperationConfig"", ""metalinkfile"", "" struct InStruct"", ""CURLcode"", ""struct_stat"", "" struct HdrCbData"", ""metalink_resource"", ""URLGlob""]"
180,-1,,"fputs(stringp, stream);",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_3759.cpp,133,"[""curl_easy_getinfo_ret"", null, ""curl_easy_getinfo_arg_ret""]","[""curl_easy_getinfo_arg_ret"", ""fprintf_arg_ret""]","[[], [u'fputs', u'stringp', u'stream']]",/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.41.0/src/tool_writeout.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_852.cpp,"[""strchr"", ""fputc"", ""fputs"", ""curl_strequal"", ""fprintf"", ""curl_easy_getinfo""]","[""int"", ""double"", ""void"", ""long"", ""char"", ""bool"", ""FILE"", "" struct OutStruct"", ""CURL""]"
