file,function,loc,log,check,variable
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/tests/server/rtspd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_698_curl-7.51.0.cpp,75,"puts(""Usage: rtspd [option]\n""
           "" --version\n""
           "" --logfile [file]\n""
           "" --pidfile [file]\n""
           "" --ipv4\n""
           "" --ipv6\n""
           "" --port [port]\n""
           "" --srcdir [path]"")","[""strcmp_ret""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/tests/server/sockfilt.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_714_curl-7.51.0.cpp,99,"puts(""Usage: sockfilt [option]\n""
           "" --version\n""
           "" --verbose\n""
           "" --logfile [file]\n""
           "" --pidfile [file]\n""
           "" --ipv4\n""
           "" --ipv6\n""
           "" --bindonly\n""
           "" --port [port]\n""
           "" --connect [port]\n""
           "" --addr [address]"")","[""strcmp_ret""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/tests/server/fake_ntlm.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_716_curl-7.51.0.cpp,41,"puts(""Usage: fake_ntlm [option]\n""
           "" --use-cached-creds\n""
           "" --helper-protocol [protocol]\n""
           "" --username [username]\n""
           "" --domain [domain]"")","[""strcmp_ret""]",[]
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/src/tool_msgs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_801_curl-7.51.0.cpp,15,"fputs(prefix, config->errors)","["" struct GlobalConfig"", null]","[""strlen_arg_ret"", "" struct GlobalConfig"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/src/tool_msgs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_801_curl-7.51.0.cpp,29,"fputs(""\n"", config->errors)","[""vsnprintf_ret"", ""strlen_ret""]","["" struct GlobalConfig"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/src/tool_msgs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_801_curl-7.51.0.cpp,34,"fputs(ptr, config->errors)","[""vsnprintf_ret"", ""strlen_ret""]","[""fwrite_arg_ret"", "" struct GlobalConfig"", null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/src/tool_msgs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_802_curl-7.51.0.cpp,5,"voutf(config, NOTE_PREFIX, fmt, ap)","["" struct GlobalConfig"", null]","["" struct GlobalConfig"", null, ""va_start_arg_ret"", ""va_end_arg""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/src/tool_msgs.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_804_curl-7.51.0.cpp,5,"fputs(""curl: "", errors)","[""va_start_arg""]","[""vfprintf_arg""]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/src/tool_cb_hdr.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_805_curl-7.51.0.cpp,23,"warnf(heads->config->global, ""Header data exceeds single call write ""
          ""limit!\n"")","[""fwrite_arg"", ""fwrite_arg"", null, null]","["" struct OutStruct"", null, null]"
/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.51.0/src/tool_paramhlp.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_repos_function_821_curl-7.51.0.cpp,92,"warnf(config->global, ""unrecognized protocol '%s'\n"", token)","["" struct sprotos"", ""char""]","["" struct OperationConfig"", null, ""curl_strequal_arg_ret""]"
