class,class_size,check,variable
275,1,"[null, null, null]","["" S toStr_ret"", ""StoreEntry"", null, ""int"", null, ""int"", null, null, ""int"", null, null, ""int"", null]"
791,2,"[null, null, null]","[""StoreEntry"", ""int""]"
276,1,"[null, null, null]","[""StoreEntry"", null, ""int"", ""int""]"
277,1,"[null, null, null]","[""StoreEntry"", null, ""int""]"
278,1,[null],"[""StoreEntry"", null, ""int"", null]"
279,1,"[""comm_open_listener_ret"", ""comm_open_listener_ret""]",[]
280,1,"[null, null]","["" redirectors packStatsInto_arg""]"
281,1,"[null, null, null]","["" redirectors packStatsInto_arg_ret"", null]"
282,1,"[null, null]","["" storeIds packStatsInto_arg""]"
283,1,"[null, null, null]","["" storeIds packStatsInto_arg_ret"", null]"
284,1,"[""ipcache_entry""]","[""StoreEntry""]"
285,1,"[""ipcache_entry""]","[""hashKeyStr_ret"", ""int_ret"", ""int_ret"", ""StoreEntry"", ""ipcache_entry"", null, null, ""ipcache_entry"", null, null, null, ""ipcache_entry"", null, ""int"", null, ""ipcache_entry"", null, null]"
286,1,"[""ipcache_entry"", null, null]","[""StoreEntry""]"
794,2,"[""int""]","[""toStr_ret"", ""StoreEntry"", ""ipcache_entry"", null, null, ""int"", ""ipcache_entry"", null, null, ""int""]"
795,2,"[""xpercent_arg""]","[""StoreEntry"", ""assert_arg_ret""]"
796,2,"[""xpercent_arg""]","[""StoreEntry""]"
797,2,"[""xpercent_arg""]","[""xpercent_ret"", ""xpercent_ret"", ""xpercent_ret"", ""StoreEntry"", ""CacheDigestGuessStats"", null, ""CacheDigestGuessStats"", null, ""int""]"
287,1,"[""xpercent_arg""]","[""xpercent_ret"", ""xpercent_ret"", ""xpercent_ret"", ""StoreEntry"", ""int"", ""int"", ""int""]"
288,1,"[""xpercent_arg""]","[""xpercentInt_ret"", ""StoreEntry"", ""CacheDigestGuessStats"", null]"
798,2,"[null, null]","[""tempnam_ret"", null, null]"
289,1,"[null, null]","[""uniqueHostname_ret"", ""tempnam_ret"", null]"
290,1,"[null, null]","[""dead_msg_ret"", ""tempnam_ret""]"
799,2,"[""signal_arg"", ""signal_arg""]","[""fflush_arg""]"
291,1,"[""signal_arg"", ""signal_arg""]","[""fflush_arg"", ""signal_arg""]"
292,1,"[null, null]","[""dead_msg_ret""]"
800,2,[null],"[""char""]"
293,1,"[""setresuid_ret""]","[""xstrerr_ret""]"
294,1,"[""seteuid_ret""]","[""xstrerr_ret""]"
295,1,"[""setuid_ret""]","[""xstrerr_ret""]"
801,2,"[""setrlimit_ret""]","[""snprintf_arg""]"
296,1,"[""setrlimit_ret""]",[null]
297,1,"[""htcpBuildSpecifier_arg"", null, null, null]",[]
298,1,"[""htcpBuildSpecifier_arg"", null]",[]
299,1,"["" htcpIncomingConn local setIPv4_ret"", null, null]",[]
300,1,"["" htcpOutgoingConn local setIPv4_ret"", null, null]",[]
301,1,"["" CfgFiles empty_ret""]","["" msg c_str_ret""]"
302,1,"["" CfgFiles empty_ret""]","[null, null, null]"
303,1,"["" rep parse_arg_ret""]",[]
304,1,"["" connectRespBuf hasSpace_ret""]",[]
305,1,"["" rep sline status_ret"", null, null]","[""strcmp_ret"", ""HttpReply"", null]"
306,1,"[null, null, null]","["" strVia c_str_ret"", null, null, null]"
307,1,"[""CBIT_TEST_ret""]","[""xdiv_ret"", ""StoreEntry"", ""int"", "" Http HeaderLookupTable lookup_ret"", ""int""]"
308,1,"[""xpercent_arg""]","[""xpercent_ret"", ""StoreEntry"", ""int"", null, ""double"", ""xpercent_arg""]"
309,1,"["" struct wccp2_service_list_t"", null, ""htonl_arg""]",[]
805,3,"[""ntohl_ret"", null, ""ntohl_ret"", null]",[]
802,2,"[""comm_open_listener_ret""]",[]
803,2,"[""connect_ret""]",[]
804,2,"[""getsockname_ret""]",[]
310,1,"["" struct wccp2_service_list_t"", null]",[]
806,2,"[""debugs_arg"", null]","[""StoreEntry"", ""char""]"
807,2,"[""debugs_arg"", null]","[""StoreEntry"", ""debugs_arg""]"
311,1,"["" struct wccp2_service_list_t"", null, null]","[""StoreEntry"", "" struct wccp2_service_list_t"", null]"
808,2,"["" struct wccp2_service_list_t"", null, null]","[""StoreEntry""]"
312,1,"[""int"", null]","[""char""]"
313,1,"[""strcspn_ret""]","[""strcspn_arg_ret""]"
314,1,"[""xatoi_ret"", ""xatoi_ret""]","[""memcpy_arg_ret""]"
315,1,"[""wccp2_get_service_by_id_ret"", null]","[""GetInteger_ret""]"
316,1,"[""strncmp_ret""]","[""GetInteger_ret"", ""strncmp_arg_ret""]"
317,1,"[""strtol_ret"", ""strtol_ret""]","[""GetInteger_ret"", ""strtol_arg_ret""]"
318,1,"[""strncmp_ret""]","[""GetInteger_ret"", ""strtol_arg_ret""]"
319,1,"[""strtol_ret""]","[""GetInteger_ret""]"
320,1,"[""wccp2_update_service_arg""]","[""GetInteger_ret""]"
321,1,"[""parse_wccp2_service_flags_ret"", null]","[""GetInteger_ret""]"
322,1,"[""ntohl_ret""]","[""StoreEntry""]"
323,1,"[""ntohl_ret"", null]","[""StoreEntry""]"
956,9,"[""ntohl_ret"", null]","[""StoreEntry"", ""bool""]"
324,1,"["" struct wccp2_service_list_t"", null, null]","[""ntohs_ret"", ""StoreEntry""]"
925,7,"["" struct wccp2_service_list_t"", null, null]","[""ntohs_ret"", ""StoreEntry"", ""bool""]"
325,1,"["" struct wccp2_service_list_t"", null, null]","[""StoreEntry"", "" struct wccp2_service_list_t"", null, null, null]"
326,1,"[""fqdncache_gethostbyaddr_ret"", ""fqdncache_gethostbyaddr_ret""]","[""StoreEntry"", ""fqdncache_gethostbyaddr_ret""]"
327,1,"[""fqdncache_gethostbyaddr_ret"", ""fqdncache_gethostbyaddr_ret""]","[""StoreEntry"", ""hash_next_ret"", null]"
809,2,"[""fqdncache_gethostbyaddr_ret"", ""fqdncache_gethostbyaddr_ret""]","[""StoreEntry"", ""hash_next_ret"", null, null]"
328,1,"[""fqdncache_gethostbyaddr_ret"", ""fqdncache_gethostbyaddr_ret""]","[""LogTags_ret"", ""c_str_ret"", "" Math intPercent_ret"", ""StoreEntry"", ""hash_next_ret"", null, null, ""LogTags_arg""]"
329,1,"[""fqdncache_gethostbyaddr_ret"", ""fqdncache_gethostbyaddr_ret""]","[""LogTags_ret"", ""c_str_ret"", "" Math intPercent_ret"", ""StoreEntry"", ""hash_next_ret"", null, null, ""LogTags_ot""]"
810,2,"[""fqdncache_gethostbyaddr_ret"", ""fqdncache_gethostbyaddr_ret""]","[""StoreEntry""]"
811,2,"[""fqdncache_gethostbyaddr_ret"", ""fqdncache_gethostbyaddr_ret""]","["" Math intPercent_ret"", ""StoreEntry"", ""int"", ""int""]"
812,2,"[""vsnprintf_ret"", ""vsnprintf_ret""]","[""xstrerr_ret""]"
330,1,"[""EBIT_TEST_ret"", ""validLength_ret""]",[]
331,1,"[""mimeGetContentType_ret"", null]",[]
332,1,"["" reply setHeaders_arg"", "" HttpRequest FromUrl_ret""]","[""debugs_arg""]"
333,1,"[""DenyInfoLocation_arg""]","["" redirect_location content_ret"", ""HttpReply"", null, null, null, null]"
334,1,"[""strchr_ret"", ""strchr_arg_ret"", ""strchr_arg_ret"", ""strchr_arg_ret"", ""strchr_arg_ret""]","[""HttpReply"", null, null, null, null, "" rep setHeaders_arg""]"
335,1,"[""strchr_ret"", ""strchr_arg_ret"", ""strchr_arg_ret"", ""strchr_arg_ret"", ""strchr_arg_ret""]","[""HttpReply"", null, null, null, null, ""DenyInfoLocation_arg_ret"", null]"
336,1,[null],"["" stats dump_arg"", "" map entryLimit_ret""]"
337,1,"["" map entryLimit_ret""]","[""currentCount_ret"", ""currentCount_ret"", "" stats dump_arg"", null, "" map entryLimit_ret""]"
338,1,[null],"["" stats dump_arg"", "" map sliceLimit_ret""]"
339,1,"["" Ipc Mem PagesAvailable_ret"", null, ""static_cast_arg"", "" map sliceLimit_ret""]","["" stats dump_arg"", ""int"", ""int"", "" map sliceLimit_ret""]"
340,1,"["" Ipc Mem Segment Enabled_ret"", null, null]",[]
813,2,"[""GopherStateData"", null]","[""gopherHTMLHeader_arg_ret""]"
814,2,"[""GopherStateData"", null, null, null]","[""gopherHTMLHeader_arg_ret""]"
815,2,"[""hash_lookup_ret"", null]",[]
341,1,"[""ipcCreate_ret""]",[]
342,1,"["" snmpIncomingConn local setIPv4_ret"", null, null]",[]
343,1,"["" snmpOutgoingConn local setIPv4_ret"", null, null]",[]
344,1,"["" Comm IsConnOpen_ret""]","["" Comm ConnectionPointer"", null, null, null]"
345,1,"["" Comm ConnectionPointer"", null, null, null]","["" conn local port_ret"", null, "" Comm ConnectionPointer"", null]"
346,1,"[null, null, ""fflush_arg"", null]","[null, ""syslog_arg_ret""]"
347,1,"[null, null, ""fflush_arg"", null]","[""fflush_arg"", null]"
816,2,"[""authenticateFixHeader_arg"", null, null, ""authenticateFixHeader_arg"", null, null]","[""httpHdrMangleList_arg"", null, null, null]"
348,1,"[""authenticateFixHeader_arg"", null, null, ""authenticateFixHeader_arg"", null, null]","[""getMyHostname_ret"", ""httpHdrMangleList_arg"", null, null, null, "" http logType isTcpHit_ret""]"
349,1,"[""authenticateFixHeader_arg"", null, null, ""authenticateFixHeader_arg"", null, null]","[""getMyHostname_ret"", ""getMyPort_ret"", ""httpHdrMangleList_arg"", null, null, null, null, null]"
350,1,"["" Auth UserRequest Pointer"", null]",[]
351,1,"["" ch fastCheck_ret"", ""allowed_ret""]",[]
352,1,"[""debugs_arg""]","[""debugs_arg_ret""]"
353,1,"["" inBuf length_ret"", "" Proxy2p0magic length_ret""]",[]
354,1,"["" tok prefix_ret"", "" Proxy1p0magic length_ret""]","["" inBuf length_ret"", null]"
355,1,"["" tok skipOne_ret""]",[]
817,2,"["" tok skip_ret""]",[]
356,1,"["" tok prefix_ret""]",[]
357,1,"["" originalClient GetHostByName_ret"", "" ipa c_str_ret""]",[]
358,1,"["" originalDest GetHostByName_ret"", "" ipb c_str_ret""]",[]
818,2,"[""static_cast_arg"", ""static_cast_arg""]",[]
359,1,"[null, "" Proxy2p0magic length_ret""]",[]
819,3,"[""char""]",[]
360,1,[null],"[""FdNote_ret""]"
361,1,"[null, ""int""]","[""int""]"
362,1,"[""isIPv6_ret"", ""debugs_arg"", ""inet_ntop_arg"", ""debugs_arg"", ""debugs_arg""]","[null, ""int"", null, null, null]"
820,2,"["" thePlan current_ret"", "" theMsg body_pipe consumedSize_ret"", null]",[]
821,2,"["" service cfg_ret"", "" service cfg_ret"", "" service cfg_ret""]","[""debugs_arg""]"
363,1,"[""at_ret"", null]","[""String""]"
822,2,"["" s cfg_ret"", "" checkedService cfg_ret"", ""at_ret"", null, null, null]","["" s cfg_ret"", null]"
364,1,"["" cfg parse_ret""]","[null, null]"
823,2,"[""service_ret"", ""cfg_ret"", null, null]",[]
365,1,"[""service_ret"", ""up_ret""]",[]
824,2,"[null, ""debugs_arg"", null, ""min_ret"", null]",[]
825,2,"[""virginContentSize_ret""]",[]
826,2,"["" adapted body_pipe buf_ret"", ""contentSize_ret""]",[]
366,1,"[""retriable_ret"", null, null, null]",[]
367,1,"["" theInitiator set_ret""]",[]
368,1,"[null, null, "" theSessionFailures count_ret"", null, null]",[]
369,1,"[""SSL_CTX_set_cipher_list_ret"", "" ctx get_ret""]","["" Security ErrorString_ret"", ""SSL_CTX_set_cipher_list_arg_ret""]"
