patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_types,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs,cluster
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_158.cpp,-1005,28,-1,1079,,"warnf(config, ""Illegally formatted input field!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1923.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1923.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1923.cpp,217,"[""addLog""]","[[], [""warnf"", ""config"", ""Illegally"", ""formatted"", ""input"", ""field"", ""\\n""]]",[5007245367415327532],"[""sscanf_ret"", ""strchr_ret"", ""sscanf_ret""]","["" struct Configurable""]",set([]),"set([-172, -171])",6
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_159.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_159.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_159.cpp,-1530,8,-1,1583,,"warnf(config, ""Failed to open %s!\n"", nextarg);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1924.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1924.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1924.cpp,337,"[""addLog""]","[[], [""warnf"", ""config"", ""Failed"", ""to"", ""open"", ""%s"", ""\\n"", ""nextarg""]]",[1262996701207570309],"[""new_getout_arg"", null]","[""new_getout_arg"", ""fopen_arg_ret""]",set([]),set([53]),7
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_160.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_160.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_160.cpp,-1739,9,-1,1804,,"warnf(config, ""Couldn't read data from file \""%s\"", this makes ""
                    ""an empty POST.\n"", nextarg);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1925.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1925.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1925.cpp,558,"[""addLog""]","[[], [""warnf"", ""config"", ""Couldn"", ""t"", ""read"", ""data"", ""from"", ""file"", ""\\"", ""%s\\"", ""this"", ""makes"", ""an"", ""empty"", ""POST"", ""\\n"", ""nextarg""]]",[2415735157615017620],"[""fopen_ret""]","[""new_getout_arg_ret"", ""fopen_arg_ret""]",set([]),set([7]),8
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_161.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_161.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_161.cpp,-1933,6,-1,2007,,"warnf(config,
            ""built-in manual was disabled at build-time!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1926.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1926.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1926.cpp,761,"[""addLog""]","[[], [""warnf"", ""config"", ""built"", ""in"", ""manual"", ""was"", ""disabled"", ""at"", ""build"", ""time"", ""\\n""]]",[7654046093501519112],"[""char""]","[""parseconfig_arg_ret""]",set([]),set([-749]),9
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_162.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_162.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_162.cpp,-2147,7,-1,2222,,"warnf(config, ""Failed to read %s"", file);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1927.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1927.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1927.cpp,976,"[""addLog""]","[[], [""warnf"", ""config"", ""Failed"", ""to"", ""read"", ""%s"", ""file""]]",[-5723474541139681543],"[""new_getout_arg_ret"", null]","[""new_getout_arg_ret"", ""file2string_arg_ret""]",set([]),set([-76]),10
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_163.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_163.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_163.cpp,-2202,6,-1,2278,,"warnf(config,
                ""Illegal date format for -z/--timecond (and not ""
                ""a file name). Disabling time condition. ""
                ""See curl_getdate(3) for valid date syntax.\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1928.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1928.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1928.cpp,1032,"[""addLog""]","[[], [""warnf"", ""config"", ""Illegal"", ""date"", ""format"", ""for"", ""z/"", ""timecond"", ""and"", ""not"", ""a"", ""file"", ""name"", ""Disabling"", ""time"", ""condition"", ""See"", ""curl_getdate"", ""3"", ""for"", ""valid"", ""date"", ""syntax"", ""\\n""]]",[-610787324968118158],"[""stat_ret""]","[""new_getout_arg_ret""]",set([]),set([3]),11
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_164.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_164.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_164.cpp,-2418,6,-1,2494,,"warnf(config, ""%s:%d: warning: '%s' %s\n"",
                filename, lineno, option, reason);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1929.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1929.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1929.cpp,194,"[""addLog""]","[[], [""warnf"", ""config"", ""%s"", ""%d"", ""warning"", ""%s"", ""%s\\n"", ""filename"", ""lineno"", ""option"", ""reason""]]",[-3142749007961939168],"[null, ""getparameter_ret""]","[""getparameter_arg_ret"", ""strcmp_arg_ret"", ""int"", ""getparameter_arg_ret"", ""param2text_ret""]",set([]),set([-7]),12
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_165.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_165.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_165.cpp,-2482,7,-1,2559,,"warnf(config, ""Failed to create the file %s\n"", out->filename);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1930.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1930.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1930.cpp,12,"[""addLog""]","[[], [""warnf"", ""config"", ""Failed"", ""to"", ""create"", ""the"", ""file"", ""%s\\n"", ""out"", ""filename""]]",[-4356627309872509577],"["" struct OutStruct"", ""void""]","["" struct Configurable"", "" struct OutStruct"", null]",set([]),"set([-5, -2])",13
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_166.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_166.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_166.cpp,-3405,6,-1,3483,,"warnf(config, ""bad output glob!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1931.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1931.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1931.cpp,382,"[""addLog""]","[[], [""warnf"", ""config"", ""bad"", ""output"", ""glob"", ""\\n""]]",[5404292223059904392],"[""glob_match_url_ret""]","[""clean_getout_arg_ret""]",set([]),set([2]),14
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_167.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_167.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_167.cpp,-3899,11,-1,3988,,"warnf(config, ""Transient problem: %s ""
                    ""Will retry in %ld seconds. ""
                    ""%ld retries left.\n"",
                    m[retry],
                    retry_sleep/1000,
                    retry_numretries);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1932.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1932.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1932.cpp,887,"[""addLog""]","[[], [""warnf"", ""config"", ""Transient"", ""problem"", ""%s"", ""Will"", ""retry"", ""in"", ""%ld"", ""seconds"", ""%ld"", ""retries"", ""left"", ""\\n"", ""m[retry]"", ""retry_sleep/1000"", ""retry_numretries""]]",[-21526474732986024968],[null],"[""curl_easy_setopt_arg_ret"", null, null, ""go_sleep_arg"", ""long""]",set([]),set([]),15
