patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_types,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs
collectd-3.11.7_diff_collectd-4.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.11.7/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.0.0/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_19.cpp,192,-139,330,-1,"fprintf (stderr, ""Wrong extra..\n"");",,10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_23.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_23.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_23.cpp,18,"[""removeLog""]","[[""fprintf"", ""stderr"", ""Wrong"", ""extra"", ""\\n""], []]",[2825956832575421605],"[""strcasecmp_ret""]",[null],set([]),set([190])
collectd-3.11.7_diff_collectd-4.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.11.7/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.0.0/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_19.cpp,198,-139,336,-1,"fprintf (stderr, ""Option `%s' is not valid in this mode!\n"", shortvar);",,10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_24.cpp,24,"[""removeLog""]","[[""fprintf"", ""stderr"", ""Option"", ""%s"", ""is"", ""not"", ""valid"", ""in"", ""this"", ""mode"", ""\\n"", ""shortvar""], []]",[18409884831772261269],"[null, ""cf_mode_item_t"", null]","[null, ""strcasecmp_arg_ret""]",set([]),set([178])
collectd-3.11.7_diff_collectd-4.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.11.7/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.0.0/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_19.cpp,299,-139,437,-1,"fprintf (stderr, ERR_NOT_NESTED);",,9,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_25.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_25.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_25.cpp,10,"[""removeLog""]","[[""fprintf"", ""stderr"", ""ERR_NOT_NESTED""], []]",[22592359931818281405],[null],"[null, null]",set([]),set([])
collectd-3.11.7_diff_collectd-4.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.11.7/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.0.0/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_19.cpp,305,-139,443,-1,"fprintf (stderr, ERR_NEEDS_ARG, shortvar);",,10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_26.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_26.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_26.cpp,16,"[""removeLog""]","[[""fprintf"", ""stderr"", ""ERR_NEEDS_ARG"", ""shortvar""], []]",[17035135711402455970],"[""DEBUG_CALLBACK_arg_ret"", null]","[null, null, ""DEBUG_CALLBACK_arg_ret""]",set([]),set([293])
collectd-3.11.7_diff_collectd-4.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.11.7/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.0.0/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_19.cpp,336,-139,474,-1,"fprintf (stderr, ERR_SECTION_ONLY, shortvar);",,10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_27.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_27.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_27.cpp,47,"[""removeLog""]","[[""fprintf"", ""stderr"", ""ERR_SECTION_ONLY"", ""shortvar""], []]",[17317328203833019531],"[""lc_flags_t"", null]","[null, null, ""DEBUG_CALLBACK_arg_ret""]",set([]),set([290])
collectd-3.11.7_diff_collectd-4.0.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.11.7/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-4.0.0/src/configfile.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_19.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_19.cpp,357,-139,495,-1,"fprintf (stderr, ERR_NEEDS_SECTION, shortvar);",,10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_28.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_28.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_28.cpp,8,"[""removeLog""]","[[""fprintf"", ""stderr"", ""ERR_NEEDS_SECTION"", ""shortvar""], []]",[15396723425136558495],"[null, ""cf_dispatch_arg"", null]","[null, null, ""DEBUG_CALLBACK_arg_ret""]",set([]),set([362])
collectd-3.2.0_diff_collectd-3.3.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.2.0/src/common.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.3.0/src/common.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_24.cpp,-208,12,-1,219,,"fprintf (stderr, ""ERROR: %s:%i: ksp == NULL\n"", __FILE__, __LINE__);",10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_31.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_31.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_31.cpp,11,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""ERROR"", ""%s"", ""%i"", ""ksp"", ""NULL\\n"", ""__FILE__"", ""__LINE__""]]",[-6005047021875085045],"[""assert_arg_ret"", null]","[null, null, null]",set([]),set([7])
collectd-3.2.0_diff_collectd-3.3.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.2.0/src/common.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.3.0/src/common.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_24.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_24.cpp,-208,17,-1,224,,"fprintf (stderr, ""ERROR: %s:%i: ksp->ks_type != KSTAT_TYPE_NAMED\n"", __FILE__, __LINE__);",10,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_32.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_32.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_32.cpp,16,"[""addLog""]","[[], [""fprintf"", ""stderr"", ""ERROR"", ""%s"", ""%i"", ""ksp"", ""ks_type"", ""KSTAT_TYPE_NAMED\\n"", ""__FILE__"", ""__LINE__""]]",[5767590372043692156],"[""assert_arg_ret"", null, null]","[null, null, null]",set([]),set([7])
collectd-3.4.0_diff_collectd-3.5.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.4.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.5.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_32.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_32.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_32.cpp,8,8,300,337,"fprintf (stderr, ""Error: Unable to change to directory `%s'.\n"", basedir);","fprintf (stderr, ""Error: Unable to change to directory `%s'.\n"", datadir);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_36.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_36.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_36.cpp,90,"[""updateVariable""]","[[""basedir""], [""datadir""]]",[2503095606478511751],"[""change_basedir_ret""]","[null, ""change_basedir_arg_ret""]",set([]),set([])
collectd-3.5.2_diff_collectd-3.6.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.5.2/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/repos/collectd-3.6.0/src/collectd.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_patch_hunk_37.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_hunk_37.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_hunk_37.cpp,53,73,329,340,"fprintf (stderr, ""Maximum of %i ping hosts reached.\n"", MAX_PINGHOSTS);","fprintf (stderr, ""Cannot obtain pidfile. This shoud not happen. Ever."");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_old_log_38.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_new_log_38.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/collectd/gumtree/collectd_function_38.cpp,75,"[""removeVariable"", ""updateContent""]","[[""Maximum"", ""of"", ""%i"", ""ping"", ""hosts"", ""reached"", ""\\n"", ""MAX_PINGHOSTS""], [""Cannot"", ""obtain"", ""pidfile"", ""This"", ""shoud"", ""not"", ""happen"", ""Ever""]]",[-12600067698900861700],"[null, null]","[null, null]",set([]),set([])
