sha,message,issue,file_name,old_file,new_file,patch_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_log_loc,new_log_loc
1160d0bf25661ca1bc4951368347a7fd4bcf7afa,ability to specify threshold for the error metric,[],src/metric/elementwise_metric.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_7.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_7.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_7.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_11.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_11.cpp,133,149,[3],[3]
51d8595372db390929f07b36655ae997fa03b2c2,"Merge pull request #911 from CodingCat/spark_xgboost

[WIP]xgboost4j-spark",[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_8.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_8.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_8.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_12.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_12.cpp,134,134,[10],[10]
e8560c7909c1d0cd047a103975ff907ec163e881,[refactor] move java package to namespace java,[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_9.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_9.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_9.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_13.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_13.cpp,134,134,[10],[10]
e23a24be8c66821feaab468085a7375d95515668,"Merge pull request #912 from tqchen/master

[JVM] Add Iterator loading API",[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_10.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_10.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_10.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_14.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_14.cpp,20,20,[],[78]
86871d4be9205d46ec28fade989f6093b71fc861,[JVM] Add Iterator loading API,[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_11.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_11.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_11.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_15.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_15.cpp,20,20,[],[78]
0f367a6ade587fcc1186df71af8038f758def1b3,"Merge pull request #904 from tqchen/master

[JVM-PKG] Update JNI to include Rabit interface",[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_12.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_12.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_12.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_16.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_16.cpp,1,1,[29],[30]
5c9e50148ac889afd29cc001c1824a151b622723,[JVM-PKG] Update JNI to include rabit codes,[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_13.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_13.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_13.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_17.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_17.cpp,1,1,[29],[30]
f8fff6c6fcb46553e26152209840e947d0cc62d8,rename files/packages,[],jvm-packages/xgboost4j/src/native/xgboost4j.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_14.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_14.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_14.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_18.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_18.cpp,24,24,[6],[6]
ef4dcce7372dbc03b5066a614727f2a6dfcbd3bc,"Merge pull request #759 from dmlc/brick

Merge Brick into master",[],R-package/src/xgboost_assert.c,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_15.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_15.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_15.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_19.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_19.cpp,24,24,[0],[0]
1495a43cea05071e9451d008addffa598e4e7341,[R] make all customizations to meet strict standard of cran,[],R-package/src/xgboost_R.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_16.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_16.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_16.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_20.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_20.cpp,34,34,[0],[0]
