__assert_fail@generator.c:2094:4
out_of_memory@util.c:1121:4
out_of_memory@util.c:1125:4
fprintf@log.c:346:3
__assert_fail@options.c:354:3
out_of_memory@options.c:375:3
__assert_fail@io.c:309:2
fprintf@io.c:580:4
fprintf@io.c:596:4
__assert_fail@io.c:1294:4
__assert_fail@hlink.c:273:3
out_of_memory@hlink.c:547:4
out_of_memory@token.c:87:3
out_of_memory@socket.c:254:3
out_of_memory@socket.c:363:4
fprintf@socket.c:847:4
out_of_memory@hashtable.c:88:4
__assert_fail@xattrs.c:559:4
io_printf@clientserver.c:174:4
io_printf@clientserver.c:183:5
io_printf@clientserver.c:432:2
io_printf@clientserver.c:441:3
io_printf@clientserver.c:455:3
io_printf@clientserver.c:535:4
io_printf@clientserver.c:537:4
io_printf@clientserver.c:553:4
io_printf@clientserver.c:557:4
io_printf@clientserver.c:567:3
io_printf@clientserver.c:588:4
io_printf@clientserver.c:631:3
io_printf@clientserver.c:699:5
io_printf@clientserver.c:728:5
io_printf@clientserver.c:789:4
io_printf@clientserver.c:809:4
io_printf@clientserver.c:818:4
io_printf@clientserver.c:825:4
io_printf@clientserver.c:846:4
io_printf@clientserver.c:1021:3
io_printf@clientserver.c:1078:3
io_printf@clientserver.c:1085:3
fprintf@clientserver.c:1111:3
fprintf@clientserver.c:1130:4
fprintf@clientserver.c:1173:3
fprintf@popt/popt.c:983:7
