patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_11.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_11.cpp,14,18,386,558,"s = sdscatprintf(s,""\\%c"",*p);","s = sdscatprintf(s,""\\%c"",*p);",4
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_12.cpp,0,0,395,567,"s = sdscatprintf(s,""%c"",*p);;","s = sdscatprintf(s,""%c"",*p);;",4
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/sds.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_12.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_12.cpp,2,2,397,569,"s = sdscatprintf(s,""\\x%02x"",(unsigned char)*p);","s = sdscatprintf(s,""\\x%02x"",(unsigned char)*p);",4
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/deps/hiredis/sds.h,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/deps/hiredis/sds.h,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_14.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_14.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_14.cpp,15,16,69,72,(sds s;,(sds s;,4
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,0,0,159,159,"anetSetError(err, ""setsockopt SO_KEEPALIVE: %s"", strerror(errno));;","anetSetError(err, ""setsockopt SO_KEEPALIVE: %s"", strerror(errno));;",6
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,16,21,175,180,"anetSetError(err, ""can't resolve: %s"", host);","inet_ntop(AF_INET, &(sa->sin_addr), ipbuf, ipbuf_len);",7
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,28,45,187,204,"anetSetError(err, ""creating socket: %s"", strerror(errno));","anetSetError(err, ""creating socket: %s"", strerror(errno));",6
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,35,36,194,195,"anetSetError(err, ""setsockopt SO_REUSEADDR: %s"", strerror(errno));","anetSetError(err, ""setsockopt SO_REUSEADDR: %s"", strerror(errno));",6
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,58,-160,217,-1,"anetSetError(err, ""can't resolve: %s"", addr);",,7
redis-2.6.17_diff_redis-2.8.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.6.17/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/repos/redis-2.8.0/src/anet.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_patch_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_old_hunk_15.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/redis/gumtree/redis_new_hunk_15.cpp,73,93,232,252,"anetSetError(err, ""connect: %s"", strerror(errno));","anetSetError(err, ""creating socket: %s"", strerror(errno));",7
