patch_file,old_file,new_file,patch_hunk_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type,old_log_file,new_log_file,function,function_loc,edit_words,edit_feature,check,variable,ddg_codes,ddg_locs,cluster
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_153.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_153.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_153.cpp,-240,152,-1,391,,"fputs(""\n"", config->errors);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1915.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1915.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1915.cpp,25,"[[], [u'fputs', u'\\n', u'config', u'errors']]",[-9152634408464038648],"[""vsnprintf_ret"", ""isspace_arg"", null]","["" struct Configurable"", null]",set([]),set([]),3
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_153.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_153.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_153.cpp,-240,157,-1,396,,"fputs(ptr, config->errors);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1916.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1916.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1916.cpp,30,"[[], [u'fputs', u'ptr', u'config', u'errors']]",[-6155419363833362771],"[""vsnprintf_ret"", ""isspace_arg"", null]","[null, "" struct Configurable"", null]",set([]),set([]),4
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_155.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_155.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_155.cpp,-887,6,-1,939,,"warnf(config, ""Illegally formatted content-type field!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1918.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1918.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1918.cpp,77,"[[], [u'warnf', u'config', u'Illegally', u'formatted', u'content', u'type', u'field', u'\\n']]",[11979621213510809823],"[""sscanf_ret""]","["" struct Configurable""]",set([]),set([]),5
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_156.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_156.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_156.cpp,-936,6,-1,988,,"warnf(config, ""Error building form post!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1919.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1919.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1919.cpp,126,"[[], [u'warnf', u'config', u'Error', u'building', u'form', u'post', u'\\n']]",[30380399961860547658],"[""AddMultiFiles_ret""]","["" struct Configurable""]",set([]),set([]),6
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_157.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_157.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_157.cpp,-973,6,-1,1025,,"warnf(config, ""curl_formadd failed!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1920.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1920.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1920.cpp,163,"[[], [u'warnf', u'config', u'curl_formadd', u'failed', u'\\n']]",[-243909951715594044],"[""curl_formadd_ret""]","["" struct Configurable""]",set([]),set([]),126
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_158.cpp,-1005,6,-1,1057,,"warnf(config, ""curl_formadd failed, possibly the file %s is bad!\n"",
                contp+1);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1921.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1921.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1921.cpp,195,"[[], [u'warnf', u'config', u'curl_formadd', u'failed', u'possibly', u'the', u'file', u'%s', u'is', u'bad', u'\\n', u'contp', u'1']]",[-1314383751683019868],"[""curl_formadd_ret""]","["" struct Configurable"", ""strstr_arg_ret""]",set([]),set([]),7
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_158.cpp,-1005,19,-1,1070,,"warnf(config, ""curl_formadd failed!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1922.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1922.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1922.cpp,208,"[[], [u'warnf', u'config', u'curl_formadd', u'failed', u'\\n']]",[-243909951715594044],"[""curl_formadd_ret""]","["" struct Configurable""]",set([]),set([]),126
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_158.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_158.cpp,-1005,28,-1,1079,,"warnf(config, ""Illegally formatted input field!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1923.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1923.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1923.cpp,217,"[[], [u'warnf', u'config', u'Illegally', u'formatted', u'input', u'field', u'\\n']]",[5007245367415327532],"[""sscanf_ret"", ""strchr_ret"", ""strchr_arg_ret""]","["" struct Configurable""]",set([]),set([]),8
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_159.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_159.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_159.cpp,-1530,8,-1,1583,,"warnf(config, ""Failed to open %s!\n"", nextarg);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1924.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1924.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1924.cpp,337,"[[], [u'warnf', u'config', u'Failed', u'to', u'open', u'%s', u'\\n', u'nextarg']]",[1262996701207570309],"[""new_getout_arg"", null]","[""new_getout_arg"", ""fopen_arg_ret""]",set([]),set([]),9
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_160.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_160.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_160.cpp,-1739,9,-1,1804,,"warnf(config, ""Couldn't read data from file \""%s\"", this makes ""
                    ""an empty POST.\n"", nextarg);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1925.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1925.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1925.cpp,558,"[[], [u'warnf', u'config', u'Couldn', u't', u'read', u'data', u'from', u'file', u'\\', u'%s\\', u'this', u'makes', u'an', u'empty', u'POST', u'\\n', u'nextarg']]",[2415735157615017620],"[""fopen_ret""]","[""new_getout_arg_ret"", ""fopen_arg_ret""]",set([]),set([]),10
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_161.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_161.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_161.cpp,-1933,6,-1,2007,,"warnf(config,
            ""built-in manual was disabled at build-time!\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1926.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1926.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1926.cpp,761,"[[], [u'warnf', u'config', u'built', u'in', u'manual', u'was', u'disabled', u'at', u'build', u'time', u'\\n']]",[7654046093501519112],[null],"[""parseconfig_arg_ret""]",set([]),set([]),11
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_162.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_162.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_162.cpp,-2147,7,-1,2222,,"warnf(config, ""Failed to read %s"", file);",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1927.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1927.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1927.cpp,976,"[[], [u'warnf', u'config', u'Failed', u'to', u'read', u'%s', u'file']]",[-5723474541139681543],"[""new_getout_arg_ret"", null]","[""new_getout_arg_ret"", ""file2string_arg_ret""]",set([]),set([]),12
curl-7.14.0_diff_curl-7.15.0,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.14.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/repos/curl-7.15.0/src/main.c,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_patch_hunk_163.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_hunk_163.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_hunk_163.cpp,-2202,6,-1,2278,,"warnf(config,
                ""Illegal date format for -z/--timecond (and not ""
                ""a file name). Disabling time condition. ""
                ""See curl_getdate(3) for valid date syntax.\n"");",7,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_old_log_1928.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_new_log_1928.cpp,/usr/info/code/cpp/LogMonitor/LogMonitor/second/download/curl/gumtree/curl_function_1928.cpp,1032,"[[], [u'warnf', u'config', u'Illegal', u'date', u'format', u'for', u'z/', u'timecond', u'and', u'not', u'a', u'file', u'name', u'Disabling', u'time', u'condition', u'See', u'curl_getdate', u'3', u'for', u'valid', u'date', u'syntax', u'\\n']]",[-610787324968118158],"[""stat_ret""]","[""new_getout_arg""]",set([]),set([]),13
