XGetWindowProperty;37;9;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.111111e-01;1.000000e+00;2.000000e-01;1.000000e+00;XGetWindowProperty#0#RV#(4==Error argument index && !XGetWindowProperty_0)
XGetWindowProperty;37;9;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.111111e-01;1.000000e+00;2.000000e-01;1.000000e+00;XGetWindowProperty#0#RV#XGetWindowProperty_0
XMaxRequestSize;6;2;2;2;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;XMaxRequestSize#0#RV#Unknown3
XPending;4;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;XPending#0#RV#(XPending_0 && Error argument index)
XQueryExtension;2;2;2;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;2;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;XQueryExtension#0#RV#XQueryExtension_0
XQueryTree;4;3;3;2;6.666667e-01;6.666667e-01;6.666667e-01;1.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;3.333333e-01;3.333333e-01;3.333333e-01;1.000000e+00;XQueryTree#0#RV#!XQueryTree_0
XRRQueryExtension;1;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;XRRQueryExtension#0#RV#XRRQueryExtension_0
XSetLocaleModifiers;1;1;1;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;XSetLocaleModifiers#0#RV#!XSetLocaleModifiers_0
XShapeQueryExtension;1;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;XShapeQueryExtension#0#RV#XShapeQueryExtension_0
XShapeQueryVersion;1;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;XShapeQueryVersion#0#RV#XShapeQueryVersion_0
XSupportsLocale;1;1;1;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;XSupportsLocale#0#RV#XSupportsLocale_0
XSyncQueryExtension;1;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;XSyncQueryExtension#0#RV#(XSyncQueryExtension_0 && Error argument index)
XSyncValueIsZero;2;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;XSyncValueIsZero#0#RV#((Error argument index && Error argument index) && !XSyncValueIsZero_0)
XTranslateCoordinates;5;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;XTranslateCoordinates#0#RV#XTranslateCoordinates_0
XineramaIsActive;1;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;XineramaIsActive#0#RV#!XineramaIsActive_0
XkbLibraryVersion;1;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;XkbLibraryVersion#0#RV#XkbLibraryVersion_0
XkbQueryExtension;1;1;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;XkbQueryExtension#0#RV#XkbQueryExtension_0
_XDeqAsyncHandler;4;4;4;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;4;1.000000e+00;1.000000e+00;1.000000e+00;1.000000e+00;_XDeqAsyncHandler#0#RV#Error argument index==Error argument index
_XReply;2;2;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;5.000000e-01;1.000000e+00;6.666667e-01;1.000000e+00;_XReply#0#RV#!_XReply_0
_XReply;2;2;1;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;1;5.000000e-01;1.000000e+00;6.666667e-01;1.000000e+00;_XReply#0#RV#_XReply_0
__builtin_constant_p;5059;32057;2195;120;3.743332e-03;5.466970e-02;7.006891e-03;1.993796e+00;714;2.227283e-02;3.252847e-01;4.169100e-02;1.105796e+01;1337;4.170696e-02;6.091116e-01;7.806844e-02;6.494260e-01;__builtin_constant_p#0#RV#!Unknown1
__builtin_constant_p;5059;32057;6;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;0;0.000000e+00;0.000000e+00;0.000000e+00;0.000000e+00;6;1.871666e-04;1.000000e+00;3.742632e-04;1.066185e+00;__builtin_constant_p#0#RV#(!Error argument index && Unknown1)
