sha,message,issue,file_name,old_file,new_file,patch_file,old_hunk_file,new_hunk_file,old_hunk_loc,new_hunk_loc,old_loc,new_loc,old_log,new_log,action_type
ef4dcce7372dbc03b5066a614727f2a6dfcbd3bc,"Merge pull request #759 from dmlc/brick

Merge Brick into master",[],R-package/src/xgboost_assert.c,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_15.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_15.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_15.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_19.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_19.cpp,24,24,23,23,"error(""%s\n"", buf);;","error(""%s\n"", buf);;",4
1495a43cea05071e9451d008addffa598e4e7341,[R] make all customizations to meet strict standard of cran,[],R-package/src/xgboost_R.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_16.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_16.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_16.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_20.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_20.cpp,34,34,33,33,error(XGBGetLastError());;,error(XGBGetLastError());;,4
0d95e863c981548b5a7ca363310fc359a9165d85,[LEARNER] refactor learner,[],src/learner.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_19.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_19.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_19.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_23.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_23.cpp,1,1,66,105,"utils::Assert(cache_.size() == 0, ""can only call cache data once"");","CHECK_EQ(cache_.size(), 0);",7
0d95e863c981548b5a7ca363310fc359a9165d85,[LEARNER] refactor learner,[],src/learner.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_19.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_19.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_19.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_23.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_23.cpp,1,1,107,-1,"utils::Error(""%s is invalid value for dsplit, should be row or col"", val);",,7
0d95e863c981548b5a7ca363310fc359a9165d85,[LEARNER] refactor learner,[],src/learner.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_19.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_19.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_19.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_23.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_23.cpp,1,1,406,-1,"utils::Assert(gbm_ == NULL, ""GBM and obj should be NULL"");",,7
9042b9e2c7375dd76f7124f4561fbf2072ce3bae,[GBM] Finish migrate all gbms,[],src/gbm/gblinear.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_20.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_20.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_20.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_24.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_24.cpp,108,162,124,177,"utils::Assert(batch.base_rowid * ngroup == preds.size(),
                    ""base_rowid is not set correctly"");","CHECK_EQ(batch.base_rowid * ngroup, preds.size());",7
9042b9e2c7375dd76f7124f4561fbf2072ce3bae,[GBM] Finish migrate all gbms,[],src/gbm/gblinear.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_20.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_20.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_20.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_25.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_25.cpp,139,191,154,-1,"utils::Error(""gblinear does not support predict leaf index"");",,7
9042b9e2c7375dd76f7124f4561fbf2072ce3bae,[GBM] Finish migrate all gbms,[],src/gbm/gblinear.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_20.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_20.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_20.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_26.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_26.cpp,261,248,269,256,"utils::Assert(fi.Read(&param, sizeof(Param)) != 0, ""Load LinearBooster"");","CHECK_EQ(fi->Read(&param, sizeof(param)), sizeof(param));",7
9042b9e2c7375dd76f7124f4561fbf2072ce3bae,[GBM] Finish migrate all gbms,[],src/gbm/gbtree.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_21.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_21.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_21.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_27.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_27.cpp,1,1,68,133,"utils::Assert(mparam.num_trees == static_cast<int>(trees.size()), ""GBTree"");","CHECK_EQ(mparam.num_trees, static_cast<int>(trees.size()));",7
9042b9e2c7375dd76f7124f4561fbf2072ce3bae,[GBM] Finish migrate all gbms,[],src/gbm/gbtree.cc,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_old_file_21.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_new_file_21.cpp,second/download/xgboost/xgboost-old-new/xgboost-old-new/dmlc_xgboost_patch_21.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_old_hunk_27.cpp,second/download/xgboost/xgboost-gumtree/dmlc_xgboost_new_hunk_27.cpp,1,1,92,-1,"utils::Assert(mparam.num_trees == 0, ""GBTree: model already initialized"");",,7
